"County","AndersonCounty","BedfordCounty","BentonCounty","BledsoeCounty","BlountCounty","BradleyCounty","CampbellCounty","CannonCounty","CarrollCounty","CarterCounty","CheathamCounty","ChesterCounty","ClaiborneCounty","ClayCounty","CockeCounty","CoffeeCounty","CrockettCounty","CumberlandCounty","DavidsonCounty","DecaturCounty","DeKalbCounty","DicksonCounty","DyerCounty","FayetteCounty","FentressCounty","FranklinCounty","GibsonCounty","GilesCounty","GraingerCounty","GreeneCounty","GrundyCounty","HamblenCounty","HamiltonCounty","HancockCounty","HardemanCounty","HardinCounty","HawkinsCounty","HaywoodCounty","HendersonCounty","HenryCounty","HickmanCounty","HoustonCounty","HumphreysCounty","JacksonCounty","JeffersonCounty","JohnsonCounty","KnoxCounty","LakeCounty","LauderdaleCounty","LawrenceCounty","LewisCounty","LincolnCounty","LoudonCounty","McMinnCounty","McNairyCounty","MaconCounty","MadisonCounty","MarionCounty","MarshallCounty","MauryCounty","MeigsCounty","MonroeCounty","MontgomeryCounty","MooreCounty","MorganCounty","ObionCounty","OvertonCounty","PerryCounty","PickettCounty","PolkCounty","PutnamCounty","RheaCounty","RoaneCounty","RobertsonCounty","RutherfordCounty","ScottCounty","SequatchieCounty","SevierCounty","ShelbyCounty","SmithCounty","StewartCounty","SullivanCounty","SumnerCounty","TiptonCounty","TrousdaleCounty","UnicoiCounty","UnionCounty","VanBurenCounty","WarrenCounty","WashingtonCounty","WayneCounty","WeakleyCounty","WhiteCounty","WilliamsonCounty","WilsonCounty"
"HancockCounty",85,281.9,343.1,173.9,94.1,160.2,67.3,223.5,374.7,89.7,280.5,390.3,35.4,183.2,55.4,229.9,405.6,145.5,254,356.7,209.4,300.7,430.2,437.2,130.5,255.4,411.4,325.7,35.1,59.8,222.6,31.1,184.7,7.7,419.6,379.8,34.7,412.6,368.8,366.3,305.8,325.1,324.1,201.1,48.7,118.7,79.9,452.9,437.1,337.4,332,285.1,110.1,140.1,403.8,240.9,389.5,215.8,295.3,298.7,144.9,122.8,301.7,251.6,114.4,428.6,181.3,347.3,159.1,181,179,151,114.7,278.6,254.1,99.9,195.8,70.9,458.8,211.4,337.3,72.4,253.6,442.2,230.1,92.8,49,192.3,203.4,83.3,357,401.9,174.6,273.4,229.3
"HardemanCounty",336.3,180.5,97.8,276.6,345,298.9,354.2,212.4,70.9,459.1,154.1,33.2,383.3,252.9,400.6,224.8,57,278.1,164.1,64.7,226.2,130.4,81.6,35,287.3,199.2,65.7,130.2,375.6,412.4,261.4,383.3,281.5,419.5,13.3,57.2,423.8,57,58.6,97.5,121.4,135.8,110.5,243.3,374.4,488.1,341.8,104.4,79.7,112.5,106.1,161.2,331.7,326.4,34.8,221.7,35.1,245,153.9,134.9,325.4,342.3,158.3,178.7,300.8,94.7,266,83.3,285.2,317.5,246,310,306.6,189.2,188.9,321.7,267.4,373.5,64.7,218.6,127.8,441.8,194.1,66.6,208.8,449.5,366.2,257,230.2,436.9,89.8,90.7,256.6,159.2,191.4
"HardinCounty",296.6,127,71.9,218.8,305.3,237.4,314.5,154.5,69.4,419.4,128.3,48.4,343.6,226.1,360.9,148.6,87.5,238.4,129,37.6,169.2,104.5,112.1,81.1,247.6,145.7,96.2,76.7,335.9,372.6,175.5,343.6,220.1,379.8,57.2,12.6,384,94.5,43.9,96.1,81,110,84.7,203.6,334.7,448.4,302,134.8,119,59,59.4,107.7,292,264.9,23.9,195.8,65.6,180,100.3,81.4,259.2,281.4,132.5,125.1,261,123.3,226.3,56.3,245.5,256,206.3,250,266.8,163.3,131,282,205.9,333.8,110.8,178.9,121.6,402.1,168.3,112.7,177.6,409.8,326.5,199.2,172.4,397.2,36.3,96.6,192.1,107,151.7
"HawkinsCounty",108.8,286.2,347.3,178.1,98.4,164.5,88.6,227.8,379,58.7,284.8,394.6,56.7,210.3,59.7,234.2,409.9,149.7,258.3,361,213.6,305,434.4,441.5,151.7,259.6,415.6,330,39.4,36.5,226.8,35.3,188.9,34.7,423.9,384,11.5,416.8,373,370.5,310,329.4,328.4,205.3,53,87.7,84.2,457.2,441.4,341.7,336.3,289.4,114.3,144.4,408,245.2,393.7,220.1,299.6,303,149.1,127,306,255.8,128,432.9,185.6,351.5,180.4,185.2,183.2,155.3,118.9,282.9,258.4,121.2,200,75.2,463.1,215.7,341.6,41.4,257.8,446.5,234.4,61.8,70.3,196.5,207.7,53.9,361.2,406.1,178.8,277.7,233.6
"HaywoodCounty",329.4,205.5,90.8,269.7,338.1,316.4,347.3,205.4,63.9,452.2,147.2,50.2,376.4,245.9,393.7,217.8,24.7,271.2,157.2,73.8,219.3,123.4,49.3,33.2,280.4,244.6,43.2,162.8,368.7,405.5,254.5,376.4,299.1,412.6,57,94.5,416.8,11.9,56.5,80.2,114.5,128.9,103.6,236.4,367.5,481.2,334.9,70.2,26.9,148.6,110.3,203.1,324.8,343.9,72.1,214.7,29.7,259,168.7,146.2,318.5,335.4,151.4,220.5,293.8,76.4,259.1,87.6,278.3,335,239.1,303,299.6,182.2,181.9,314.8,264.4,366.6,54.8,211.7,110.4,434.9,187.2,32,201.9,442.6,359.3,250.1,223.3,430,125,68.2,249.7,152.3,184.5
"HendersonCounty",285.6,129.5,47,225.9,294.3,272.6,303.5,161.6,27.8,408.4,103.4,28.2,332.6,202.2,349.9,174,49.5,227.4,113.4,17.4,175.5,79.7,74.1,81.1,236.6,157.6,55.3,106.4,324.9,361.7,210.7,332.6,255.3,368.8,58.6,43.9,373,56.5,11.8,54.5,70.7,85.1,59.8,192.6,323.7,437.4,291.1,96.8,81,92.2,53.9,139.2,281,300.1,41.7,170.9,33.4,215.2,104.8,82.3,274.7,291.6,107.6,156.6,250,81.7,215.3,31.2,234.5,291.2,195.3,259.2,255.9,138.4,138.1,271,220.6,322.8,102.7,167.9,84.7,391.1,143.4,86.1,158.1,398.8,315.5,206.3,179.5,386.2,68.5,55,205.9,108.5,140.7
"HenryCounty",283.1,166.4,24.8,230.5,291.8,277.3,301,166.3,26.9,405.9,99.3,80.4,335.3,190.7,347.4,178.7,68.4,224.9,113,56.2,173,72.3,79.8,110.4,234.1,205.4,49.1,145.8,322.5,359.2,215.3,330.1,259.9,366.3,97.6,96.1,370.5,80.2,54.5,12.5,81.2,51.1,47.4,182.8,321.2,434.9,288.6,79.3,104.6,130.9,92.7,169.8,278.5,287.2,93.9,159.5,62.7,219.8,135.4,112.9,272.2,289.1,67.5,187.3,247.6,53,212.8,69.9,232,295.8,192.8,256.8,253.4,100.9,142.8,268.5,225.2,320.3,132,165.4,32.3,388.6,131.9,109.8,146.6,396.3,313,210.9,184.1,383.7,107.3,26.2,203.4,105.9,138.2
"HickmanCounty",222.6,80,60.1,162.5,231.3,209.3,240.5,98.3,76.7,345.4,53.3,87,269.6,147.6,286.9,110.7,107.5,164.4,58.8,53.4,112.5,29.6,132.1,139.1,173.6,108,113.3,65.7,262,298.7,147.3,269.6,191.9,305.8,121.5,81,310,114.5,70.7,81.2,12.7,62.1,38.8,129.6,260.7,374.4,228.1,154.9,139,64.7,26.4,89.7,218,236.7,100.4,116.4,91.4,151.8,55.3,32.8,211.7,228.6,57.5,107.1,187.1,130.6,152.3,35.7,171.5,227.8,132.3,196.3,192.9,83.9,74.8,208,157.2,259.8,160.7,104.9,78.2,328.1,88.8,144.1,103.5,335.8,252.5,142.9,116.1,323.2,58.4,103.8,142.9,45.1,77.7
"HoustonCounty",241.9,119.3,45.2,183.4,250.6,230.2,259.8,119.2,64.1,364.7,49,106.7,288.9,156.5,306.2,131.6,122,183.7,69.8,73.1,131.8,33.5,129.8,153.6,192.9,158.3,94.8,110.6,281.3,318,168.2,288.9,212.8,325.1,135.9,110,329.4,128.9,85.1,51.1,62.1,7.4,26,148.9,280.1,393.7,247.4,129.2,153.4,116.3,81.9,135.9,237.3,246.1,120.1,125.3,105.8,172.8,101.6,77.6,231,247.9,28.9,153.4,206.4,102.9,171.6,63.6,190.8,248.7,151.6,215.6,212.2,64.6,95.7,227.3,178.1,279.2,175.1,124.3,19,347.4,97.7,158.6,112.4,355.2,271.8,163.8,137,342.5,96.5,76.1,162.2,73.1,97
"HumphreysCounty",240.9,117.1,24.3,181.2,249.6,227.9,258.8,117,43.2,363.7,53.9,81.4,287.9,157.5,305.2,129.4,96.7,182.7,68.7,47.8,130.8,30.2,121.2,128.3,191.9,156.1,73.9,101.3,280.3,317,166,287.9,210.6,324.1,110.6,84.7,328.4,103.6,59.8,47.4,38.8,26,12.1,147.9,279,392.7,246.4,122.3,128.1,94.8,56.6,126.7,236.3,255.4,94.8,126.3,80.5,170.5,92.3,68.4,230,246.9,47.3,144.2,205.4,96.1,170.6,38.3,189.8,246.5,150.6,214.6,211.2,78.5,93.5,226.3,175.9,278.1,149.9,123.2,42.1,346.4,98.7,133.3,113.4,354.1,270.8,161.6,134.8,341.5,71.2,69.3,161.2,63.8,96
"JacksonCounty",117.9,105.8,166.9,75.4,126.6,127.1,123.8,64.2,198.6,240.7,104.3,214.2,152.9,24,182.2,83.2,229.4,59.7,77.8,180.6,41.2,124.6,254,261,57.7,110,235.2,149.5,157.2,193.9,92.4,164.9,115.9,201.1,243.4,203.6,205.3,236.4,192.6,182.8,129.6,148.9,147.9,9.2,156,269.7,123.3,276.8,260.9,161.2,155.9,121.6,113.3,122,227.6,34.9,213.3,106.9,119.2,122.5,107,123.9,118.3,104.9,82.3,252.5,27.7,171.1,45.9,147.9,19.1,91.5,88.1,88.1,78,91.3,82.8,155.1,282.6,26.9,153.9,223.4,63,266.1,37.4,231.1,147.8,55.8,56.7,218.5,180.8,225.7,38.2,97.2,53.2
"JeffersonCounty",59.5,236.9,298,128.8,49.1,115.2,72.8,178.5,329.7,88.3,235.4,345.3,59.9,160.9,29.8,184.9,360.6,100.4,209,311.7,164.3,255.7,385.1,392.1,119.5,210.3,366.3,280.6,25.6,41.6,177.5,18.6,139.6,48.7,374.5,334.7,53,367.5,323.7,321.2,260.7,280.1,279,156,9.1,117.3,34.9,407.9,392,292.4,287,240.1,65,95.1,358.7,195.9,344.4,170.7,250.3,253.6,99.8,77.7,256.7,206.5,78.7,383.6,136.3,302.2,148.1,135.9,133.9,106,69.6,233.6,209.1,89,150.7,25.9,413.8,166.4,292.3,71,208.5,397.2,185,78.8,53.3,147.2,158.3,66.1,311.9,356.8,129.5,228.4,184.3
"JohnsonCounty",173.2,350.5,411.7,242.5,162.7,228.8,186.4,292.1,443.3,29.9,349.1,458.9,140.6,274.6,103.2,298.5,474.2,214.1,322.6,425.3,278,369.3,498.8,505.8,233.2,324,480,394.3,123.3,72.7,291.2,106.6,253.3,118.7,488.2,448.4,87.7,481.2,437.4,434.9,374.4,393.7,392.7,269.7,117.3,9,148.6,521.5,505.7,406,400.6,353.7,178.6,208.7,472.4,309.5,458.1,284.4,363.9,367.3,213.5,191.4,370.3,320.2,192.4,497.2,249.9,415.9,261.8,249.6,247.6,219.6,183.3,347.2,322.7,202.6,264.4,139.5,527.4,280,405.9,51.3,322.2,510.8,298.7,53.4,154.2,260.9,272,47.5,425.6,470.5,243.2,342,297.9
"KnoxCounty",22.1,204.2,265.4,96.2,18.8,82.5,41.9,145.8,297,119.6,202.8,312.6,50.1,128.3,61.1,152.2,327.9,67.8,176.3,279,131.7,223,352.5,359.5,88.7,177.7,333.7,248,36.1,72.8,144.9,43.8,106.9,79.9,341.9,302,84.2,334.9,291.1,288.6,228.1,247.4,246.4,123.3,34.9,148.6,11.8,375.2,359.4,259.7,254.3,207.4,32.3,62.4,326.1,163.2,311.8,138.1,217.6,221,67.2,45.8,224,173.9,43.3,350.9,103.6,269.6,117.3,103.3,101.3,73.3,37,200.9,176.4,58.1,118,34.6,381.1,133.7,259.6,102.3,175.9,364.5,152.4,110,27.3,114.6,125.7,97.4,279.3,324.1,96.9,195.7,151.6
"LakeCounty",369.8,245.9,102.7,310.1,378.5,356.8,387.6,245.8,80.4,492.6,170.9,90.5,416.8,286.3,434.1,258.2,49.9,311.5,197.6,114.2,259.7,147.2,24.2,99.8,320.8,285,54.1,203.2,409.1,445.8,294.9,416.7,339.4,452.9,104.4,134.8,457.2,70.2,96.8,79.3,154.9,129.2,122.3,276.8,407.9,521.5,375.2,7.2,44.5,189,150.7,243.5,365.1,384.3,112.4,255.1,70,299.4,209.1,186.6,358.9,375.7,145.6,260.9,334.2,29.1,299.5,128,318.6,375.4,279.4,343.4,340,193.9,222.3,355.1,304.7,407,102.6,252.1,110.5,475.2,227.6,68,242.2,483,399.6,290.5,263.7,470.4,165.4,53.1,290.1,192.7,224.8
"LauderdaleCounty",353.9,230.1,115.4,294.2,362.6,341,371.8,230,86.8,476.7,171.7,74.7,400.9,270.5,418.2,242.4,38.7,295.7,181.8,98.4,243.8,148,25.7,55.8,304.9,269.1,51.6,187.4,393.3,430,279,400.9,323.6,437.1,79.7,119,441.4,26.9,81,104.6,139,153.4,128.1,260.9,392,505.7,359.4,44.5,11.6,173.1,134.9,227.6,349.3,368.4,96.6,239.3,54.2,283.5,193.3,170.7,343,359.9,175.9,245.1,318.4,54.5,283.6,112.1,302.8,359.5,263.6,327.6,324.2,206.8,206.5,339.3,288.9,391.1,59.2,236.3,135.8,459.4,211.7,24.7,226.4,467.1,383.8,274.6,247.8,454.5,149.5,78.5,274.2,176.8,209
"LawrenceCounty",254.2,74,109.8,176.4,262.9,185.1,272.1,112.2,120,377,108.2,103.7,301.2,183.7,318.5,96.3,141.7,196,86.7,80.4,126.8,83.8,166.2,136.4,205.2,93.3,147.4,24.3,293.6,330.3,123.1,301.2,167.7,337.4,112.5,59,341.7,148.6,92.2,130.9,64.7,116.3,94.8,161.2,292.4,406,259.7,189,173.1,12.8,38.3,55.3,249.6,212.5,79.2,147.1,120.9,127.7,48,39,206.8,229,111.8,72.8,218.7,173.9,183.9,62.6,203.1,203.6,163.9,197.6,224.5,116.6,88.7,239.6,153.6,291.5,166.1,136.6,132.4,359.7,119.5,168.1,135.2,367.5,284.1,156.8,130,354.8,36.2,147.1,149.7,64.6,109.3
"LewisCounty",248.8,83.4,71.5,171,257.5,217.8,266.7,106.8,81.7,371.6,78.7,75.7,295.8,178.3,313.1,119.2,103.4,190.6,81.3,42.1,121.4,54.9,127.9,124.3,199.8,111.5,109.1,52.5,288.2,324.9,155.8,295.8,200.4,332,106.1,59.4,336.3,110.3,53.9,92.7,26.4,81.9,56.6,155.9,287,400.6,254.3,150.7,134.9,38.3,8.6,83.5,244.2,245.3,79.6,141.7,87.2,160.4,58.7,33.9,237.9,261.7,82.9,100.9,213.3,135.6,178.6,24.3,197.7,236.3,158.5,196.4,219.1,109.2,83.3,234.2,165.7,286.1,156.6,131.2,97.9,354.3,114.1,140,129.8,362.1,278.7,151.4,124.6,349.4,36.8,108.8,144.3,59.2,103.9
"LincolnCounty",185.1,31.8,145.7,111.4,206.9,130.7,213.4,65.6,165.3,324.8,111.6,152.4,254.7,158.3,266.3,41.9,196.1,124.2,90,127.4,88.8,103.4,220.7,185.1,152.8,38.9,201.9,30.3,241.3,278,68.7,248.9,113.3,285.1,161.2,107.7,289.4,203.1,139.2,169.8,89.7,135.9,126.7,121.6,240.1,353.7,207.4,243.5,227.6,55.3,83.5,12.3,182.1,158.2,127.9,126.2,180,73.3,27.5,57,152.4,174.6,131.3,18.4,166.2,219.2,131.5,109.6,150.6,149.3,111.4,143.3,155.4,120,61.1,187.1,99.2,239.2,214.8,111.2,152,307.4,106.7,232.8,109.8,315.2,231.8,91.8,65.1,302.5,84.9,192.4,93.8,74.8,83.9
"LoudonCounty",41,194.1,255.3,86.1,22.4,57.2,71.4,135.7,286.9,149.7,192.7,302.5,79.6,118.2,91.2,142.1,317.8,57.7,166.2,268.9,121.6,212.9,342.4,349.4,89.4,152.3,323.6,211.4,66.2,102.9,119.8,73.8,81.6,110.1,331.8,292,114.3,324.8,281,278.5,218,237.3,236.3,113.3,65,178.6,32.3,365.1,349.3,249.6,244.2,182.1,8.1,37.1,316,153.1,301.7,112.8,207.5,210.9,41.8,23.1,213.9,163.8,51.7,340.8,93.5,259.5,117.3,78,91.2,48,26.9,190.8,166.3,87.6,93,54.2,371,123.6,249.5,132.4,165.8,354.4,142.3,140.1,56.8,104.5,115.6,127.5,269.1,314,86.8,185.6,141.5
"McMinnCounty",71,165.9,274.4,69,45.9,33.3,101.5,153.3,306.1,179.7,201.4,321.7,109.7,126.9,121.2,133.1,337,66,174.9,288.1,117,232.1,361.5,368.5,98.1,128.4,342.7,187.5,96.3,133,112.9,103.9,57.7,140.1,326.4,264.9,144.4,343.9,300.1,287.2,236.7,246.1,255.4,122,95.1,208.7,62.4,384.3,368.4,212.5,245.3,158.2,37.1,10.7,301.9,161.9,320.8,88.8,186.6,211.9,17.9,20.2,222.6,153.7,81.7,360,102.3,264,126,39.8,99.9,43.3,50.7,199.6,169.4,117.7,91.1,77.7,390.1,132.3,258.3,162.4,174.5,373.6,151,170.1,86.8,96.4,114.8,157.5,242.1,333.2,92.4,193.6,150.3
"McNairyCounty",320.6,147.2,82.1,239,329.3,274.4,338.5,174.7,67.2,443.4,138.4,26,367.6,237.2,384.9,168.8,65.1,262.4,148.4,47.8,189.4,114.7,89.7,58.7,271.6,165.9,73.8,96.9,359.9,396.7,195.7,367.6,257.1,403.8,34.8,23.9,408,72.1,41.7,93.9,100.4,120.1,94.8,227.6,358.7,472.4,326.1,112.4,96.6,79.2,79.6,127.9,316,301.9,12.2,205.9,43.2,200.2,120.5,101.6,296.2,318.4,142.6,145.4,285,102.8,250.3,66.4,269.5,293,230.3,287,290.9,173.4,151.3,306,242.9,357.8,88.4,202.9,124.1,426.1,178.4,90.3,193.1,433.8,350.5,219.4,192.6,421.2,56.5,94.4,212.3,127.2,175.7
"MaconCounty",157.8,96.1,145.3,115.3,166.5,167,152.1,69.7,176.9,280.6,76.9,192.5,181.3,34.2,222.1,108.4,207.8,99.6,61.2,158.9,61.2,102.9,232.3,239.4,86.1,135.1,213.6,135.4,197.1,233.8,122.3,204.7,155.8,240.9,221.8,195.8,245.2,214.7,170.9,159.5,116.4,125.3,126.3,34.9,195.9,309.5,163.2,255.1,239.3,147.1,141.7,126.2,153.1,161.9,205.9,9,191.6,149.6,109.5,108.4,146.8,163.7,94.9,126.6,122.2,226.2,59.5,149.5,74.3,187.8,67.4,131.4,128,58,68.3,119.7,122.6,195,261,31.7,130.5,263.2,38.8,244.4,17.6,271,187.6,95.7,83.6,258.4,166.6,184.5,78.1,82.7,43.5
"MadisonCounty",306.3,182.4,67.8,246.6,315,293.3,324.2,182.3,40.8,429.1,124.1,21.3,353.3,222.9,370.6,194.7,22.7,248.1,134.1,50.7,196.2,100.3,47.3,54.3,257.3,221.5,31.4,138.6,345.6,382.4,231.4,353.3,276,389.5,35.1,65.6,393.7,29.7,33.4,62.7,91.4,105.8,80.5,213.3,344.4,458.1,311.8,70,54.2,120.9,87.2,180,301.7,320.8,43.2,191.6,12.2,235.9,145.6,123.1,295.4,312.3,128.3,197.4,270.7,60.4,236,64.5,255.2,311.9,216,279.9,276.5,159.1,158.9,291.7,241.3,343.5,75.9,188.6,92.9,411.8,164.1,59.3,178.8,419.5,336.2,227,200.2,406.9,98.2,56.4,226.6,129.2,161.4
"MarionCounty",146.7,81.1,189.5,46.7,137.5,61.3,177.2,68.4,221.2,255.4,132.3,236.8,185.3,126.6,196.9,48.2,252.1,75.8,107.6,203.2,83.6,147.2,276.6,283.6,107.9,43.5,257.8,102.6,171.9,208.7,24.8,179.6,44,215.8,245,180,220.1,259,215.2,219.8,151.8,172.8,170.5,106.9,170.7,284.4,138.1,299.4,283.5,127.7,160.4,73.3,112.8,88.8,200.2,149.6,235.9,11.7,101.7,127,83.1,105.3,155.3,68.8,121.3,275.1,106.5,179.1,125.7,79.9,86.5,69.5,107,137.5,84.5,142.3,25,169.8,305.3,108.5,190.9,238.1,130.1,288.7,133.2,245.8,162.5,53.8,59.9,233.2,157.2,248.3,68.9,108.7,107.3
"MarshallCounty",212.1,26.3,111.3,125.1,220.8,159.1,230,70.1,130.9,334.9,77.3,126.6,259.1,141.6,276.4,52.7,161.8,153.9,55.7,93,84.7,69,186.3,193.4,163.1,54.3,167.5,26,251.5,288.2,97.1,259.1,141.7,295.3,153.9,100.3,299.6,168.7,104.8,135.4,55.3,101.6,92.3,119.2,250.3,363.9,217.6,209.1,193.3,48,58.7,27.5,207.5,186.6,120.5,109.5,145.6,101.7,10,22.6,180.8,203,97,42.3,176.6,184.8,141.9,75.2,161,177.6,121.8,150.5,182.4,85.6,46.6,197.5,127.6,249.4,214.9,94.5,117.6,317.6,88.5,198.4,93.1,325.4,242,105.5,78.7,312.7,77.5,158,107.5,40.4,67.2
"MauryCounty",215.5,47.3,87.4,137.7,224.2,184.4,233.4,73.5,108.4,338.3,69.5,104.1,262.5,145,279.8,85.9,139.2,157.3,47.9,70.5,88.1,45.1,163.8,170.8,166.5,75.4,145,33,254.9,291.6,122.5,262.5,167.1,298.7,134.9,81.4,303,146.2,82.3,112.9,32.8,77.6,68.4,122.5,253.6,367.3,221,186.6,170.7,39,33.9,57,210.9,211.9,101.6,108.4,123.1,127,22.6,12.8,204.6,228.4,73,74.5,179.9,162.3,145.2,52.7,164.4,203,125.2,163.1,185.8,77.9,50,200.9,132.4,252.7,192.4,97.8,93.7,321,80.8,175.9,96.5,328.7,245.4,118.1,91.3,316.1,58.6,135.5,111,25.9,70.6
"MeigsCounty",75.8,160.2,249,54,66.6,31.6,106.3,119.9,280.6,184.5,186.4,296.2,114.4,111.9,126,127.3,311.5,50.9,159.9,262.6,102,206.6,336.1,343.1,83.1,122.7,317.3,181.8,101,137.8,100.1,108.7,43,144.9,325.5,259.2,149.1,318.5,274.7,272.2,211.7,231,230,107,99.8,213.5,67.2,358.9,343,206.8,237.9,152.4,41.8,17.9,296.2,146.8,295.4,83.1,180.8,204.6,7.6,34.4,207.6,148,59.9,334.5,87.2,253.2,111,52.4,84.9,28.2,34.4,184.5,160.1,90.2,73.3,98.9,364.7,117.3,243.2,167.2,159.5,348.1,136,174.9,91.6,81.4,99.8,162.3,236.4,307.8,77.4,179.3,135.3
"MonroeCounty",64.3,182.4,265.9,70.9,29.8,49.7,86.2,136.8,297.5,162.4,203.3,313.1,94.3,128.8,103.9,149.5,328.4,67.8,176.8,279.5,118.9,223.5,353,360,100,144.9,334.2,204,78.9,115.7,117,86.6,74.2,122.8,342.4,281.4,127,335.4,291.6,289.1,228.6,247.9,246.9,123.9,77.7,191.4,45.8,375.7,359.9,229,261.7,174.6,23.1,20.2,318.4,163.7,312.3,105.3,203,228.4,34.4,13.1,224.5,170.2,75,351.4,104.1,270.1,127.9,50.7,101.8,45.1,44,201.4,176.9,102.3,90.2,61.5,381.6,134.2,260.1,145.1,176.4,365,152.9,152.8,71.5,98.3,116.7,140.2,258.6,324.6,94.3,196.2,152.1
"MontgomeryCounty",218.5,101.8,66.5,165.9,227.2,212.7,236.4,101.7,85.4,341.3,28.4,129.2,265.5,126.1,282.8,114.1,144.5,160.3,48.5,95.6,108.4,28.9,146.2,176.1,169.5,140.8,114.5,106,257.9,294.6,150.7,265.5,195.3,301.7,158.4,132.5,306,151.4,107.6,67.5,57.5,28.9,47.3,118.3,256.7,370.3,224,145.6,175.9,111.8,82.9,131.3,213.9,222.6,142.6,94.9,128.3,155.3,97,73,207.6,224.5,12,132.3,183,119.4,148.3,86.1,167.4,231.2,128.2,192.2,188.8,36.3,78.2,203.9,160.6,255.8,197.6,100.9,35.4,324,67.3,181.1,82,331.8,248.4,146.3,119.5,319.1,114.9,92.6,138.8,68.4,73.6
"MooreCounty",168.4,32.2,163.2,94.7,177.1,126.2,196.7,48.8,182.7,291.2,109.3,169.9,225.8,134.8,232.7,25.1,213.6,107.4,84.6,144.8,72,120.8,238.1,202.6,136,26.8,219.4,47.8,207.7,244.4,64.3,215.4,108.9,251.6,178.7,125.1,255.8,220.5,156.6,187.3,107.1,153.4,144.2,104.9,206.5,320.2,173.9,260.9,245.1,72.8,100.9,18.4,163.8,153.7,145.4,126.6,197.4,68.8,42.3,74.5,148,170.2,132.3,5.9,149.4,236.6,114.7,127.1,133.9,144.8,94.7,120.1,138.6,114.5,61.6,170.4,94.8,205.6,232.3,88.9,167.9,273.9,107.2,250.2,110.3,281.6,198.3,75.1,48.3,269,102.3,209.8,77.1,79.4,84.4
"MorganCounty",34.5,163.2,224.3,75.3,53.7,101.8,63.4,113.7,256,163.4,161.8,271.6,92.5,86.3,104.9,127.8,286.9,49.2,135.3,238,90.7,182,311.4,318.5,41.3,154.5,292.6,207,87.9,116.7,126.7,87.6,94.4,114.4,300.9,261,128,293.8,250,247.6,187.1,206.4,205.4,82.3,78.7,192.4,43.3,334.2,318.4,218.7,213.3,166.2,51.7,81.7,285,122.2,270.7,121.3,176.6,179.9,59.9,75,183,149.4,11.8,309.9,61.6,228.5,69.9,122.6,60.2,52.6,25.7,159.9,135.4,30.9,97.2,78.4,340.1,92.7,218.6,146.1,134.8,323.5,111.3,153.8,68.4,90.1,101.3,141.2,238.2,283.1,72.5,154.7,110.6
"ObionCounty",345.4,221.6,76.4,285.8,354.2,332.5,363.3,221.5,54.2,468.3,144.7,80.8,395.4,257.4,409.8,233.9,54.3,287.2,173.3,99.1,235.4,120.9,29.6,104.2,296.5,260.6,34.3,188.1,384.8,421.5,270.5,392.4,315.1,428.6,94.7,123.3,432.9,76.4,81.7,53,130.6,102.9,96.1,252.5,383.6,497.2,350.9,29.1,54.5,173.9,135.6,219.2,340.8,360,102.8,226.2,60.4,275.1,184.8,162.3,334.5,351.4,119.4,236.6,309.9,12.1,275.2,112.9,294.3,351,255.1,319.1,315.7,167.6,198,330.8,280.4,382.7,112.6,227.8,84.2,450.9,198.6,78,213.3,458.7,375.3,266.1,239.4,446,150.2,26.8,265.8,168.4,200.5
"OvertonCounty",98.1,128.5,189.6,66,106.8,107.4,97.6,79,221.3,220.9,127,236.9,126.7,27,162.4,93.1,252.1,39.9,100.6,203.3,55.9,147.3,276.7,283.7,31.5,119.8,257.9,172.2,137.5,174.2,92,145.1,115.6,181.3,266.1,226.3,185.6,259.1,215.3,212.8,152.3,171.6,170.6,27.7,136.3,249.9,103.6,299.5,283.6,183.9,178.6,131.5,93.5,102.3,250.3,59.5,236,106.5,141.9,145.2,87.2,104.1,148.3,114.7,61.6,275.2,10.7,193.8,26.1,128.1,22.9,71.8,68.4,125.2,100.7,65.1,82.4,135.4,305.3,58,183.9,203.6,100.1,288.8,64.7,211.4,128,55.4,66.5,198.7,203.5,248.4,37.8,119.9,75.9
"PerryCounty",264.1,99.9,48.8,189.8,272.8,236.5,282,125.6,59,386.9,81.9,53,311.1,180.7,328.4,137.9,80.6,205.9,91.9,19.4,140.2,58.2,105.2,101.5,215.1,128,86.4,76.8,303.4,340.2,174.6,311.1,219.2,347.3,83.3,56.3,351.5,87.6,31.2,69.9,35.7,63.6,38.3,171.1,302.2,415.9,269.6,128,112.1,62.6,24.3,109.6,259.5,264,66.4,149.5,64.5,179.1,75.2,52.7,253.2,270.1,86.1,127.1,228.5,112.9,193.8,10.6,213,255.1,173.8,237.7,234.4,116.9,102.1,249.5,184.5,301.3,133.8,146.4,79.7,369.6,121.9,117.3,136.6,377.3,294,170.2,143.4,364.7,39,86.1,163.1,78,119.2
