"County","AlamanceCounty","AlexanderCounty","AlleghanyCounty","AnsonCounty","AsheCounty","AveryCounty","BeaufortCounty","BertieCounty","BladenCounty","BrunswickCounty","BuncombeCounty","BurkeCounty","CabarrusCounty","CaldwellCounty","CamdenCounty","CarteretCounty","CaswellCounty","CatawbaCounty","ChathamCounty","CherokeeCounty","ChowanCounty","ClayCounty","ClevelandCounty","ColumbusCounty","CravenCounty","CumberlandCounty","CurrituckCounty","DareCounty","DavidsonCounty","DavieCounty","DuplinCounty","DurhamCounty","EdgecombeCounty","ForsythCounty","FranklinCounty","GastonCounty","GatesCounty","GrahamCounty","GranvilleCounty","GreeneCounty","GuilfordCounty","HalifaxCounty","HarnettCounty","HaywoodCounty","HendersonCounty","HertfordCounty","HokeCounty","HydeCounty","IredellCounty","JacksonCounty","JohnstonCounty","JonesCounty","LeeCounty","LenoirCounty","LincolnCounty","McDowellCounty","MaconCounty","MadisonCounty","MartinCounty","MecklenburgCounty","MitchellCounty","MontgomeryCounty","MooreCounty","NashCounty","NewHanoverCounty","NorthamptonCounty","OnslowCounty","OrangeCounty","PamlicoCounty","PasquotankCounty","PenderCounty","PerquimansCounty","PersonCounty","PittCounty","PolkCounty","RandolphCounty","RichmondCounty","RobesonCounty","RockinghamCounty","RowanCounty","RutherfordCounty","SampsonCounty","ScotlandCounty","StanlyCounty","StokesCounty","SurryCounty","SwainCounty","TransylvaniaCounty","TyrrellCounty","UnionCounty","VanceCounty","WakeCounty","WarrenCounty","WashingtonCounty","WataugaCounty","WayneCounty","WilkesCounty","WilsonCounty","YadkinCounty","YanceyCounty"
"DurhamCounty",32.9,143.6,153,129.1,167.4,193.4,136.1,144.3,127,184.3,223.6,168.1,123.1,167.4,192.8,169.4,41.8,146.2,38.9,330.2,159.9,323.3,189.1,152.8,135.5,90.6,204.2,220.4,83.5,102.4,104.1,8.9,86.9,82.2,41.5,160.5,147.3,323.1,29.7,94.4,57.7,84.8,53.2,249.1,242.1,130.7,98.2,193,126.8,274.5,51.3,126.1,53,101.1,152.1,192.5,292,247.8,117.7,144.3,219.6,101.7,75.9,69.9,154.5,99.9,150.3,17.5,156.5,184.4,133,169.5,30,104.1,223.5,75.8,103.8,125.3,84.4,107.3,202.2,91.3,103.3,109.4,107.2,120.6,286.6,255.5,183.7,161.7,39.8,22.4,59,151.4,168.2,78.4,136.2,68.3,108.8,223.8
"EdgecombeCounty",109.6,220.3,229.8,183.8,244.1,270.2,57.5,59.1,144,183.6,300.4,244.8,190,244.2,107.6,115.3,118.5,223,106.1,407,74.6,400,251.8,169.7,81.4,107.6,119,135.1,159.1,179.2,103.5,78.8,11.6,159,47.2,223.1,81.5,399.9,82.8,45.6,134.5,42.2,102.2,325.9,306.1,62.1,131.5,114.4,203.5,351.2,62.7,86.5,107.6,61.5,227.8,269.2,368.8,324.5,32.5,207,296.3,155.5,130.5,20.5,153.8,60.1,110.5,100.2,90.5,99.2,132.4,84.3,106.1,35.7,286.2,141.4,158.4,142.2,161.1,182.9,273.3,100.4,149.4,176.7,184,197.4,363.4,332.3,98.4,212.5,73.3,67.6,61.1,66.1,244.9,63.4,213,33.7,185.6,300.6
"ForsythCounty",51.3,65.6,75.1,97,89.4,115.5,216.5,216.4,167.7,222.6,145.6,90.1,59.4,89.4,264.9,249.7,66.9,68.2,70.6,252.3,231.9,245.3,108,197.2,215.8,124.4,276.2,292.4,24.5,24.5,184.4,81.7,159,10.5,121.7,96.7,227.4,245.2,109.8,174.9,25.1,164.9,115.2,171.1,164.1,210.8,121,273.4,48.8,196.5,131.6,206.4,86.7,181.4,81.4,114.5,214.1,169.8,189.7,80.6,141.6,67.3,101.6,141.9,234.7,180,230.6,72,236.8,256.5,213.3,241.6,87.5,184.6,145.9,47.8,112.2,159.5,41.3,43.5,124.2,171.6,126.1,71.3,25.4,39.5,208.7,177.6,255.7,97.9,119.9,102.6,139.1,223.4,90.2,158.6,58.3,148.8,30.9,145.9
"FranklinCounty",72.3,183,192.5,158.9,206.8,232.9,103.1,104.7,135.8,184.2,263.1,207.5,162.6,206.9,153.2,155.1,81.2,185.7,81.3,369.7,120.2,362.8,228.6,161.6,121.2,99.4,164.5,180.7,122.9,141.9,104.1,41.5,47.2,121.7,11.4,199.9,113.8,362.6,36.6,66.5,97.2,48.5,76.3,288.6,280.8,97.2,123.4,160,166.2,313.9,50.2,111.7,82.8,86.8,191.6,231.9,331.5,287.2,78,183.8,259,130.6,105.7,30.2,154.4,66.4,135.7,57,137.1,144.7,133,129.8,65.1,76.1,263,115.3,133.6,134.1,123.8,146.8,241.6,84.6,133.1,151.8,146.7,160.1,326.1,295,144,187.7,27.1,33.5,33.2,111.7,207.6,64,175.7,40.3,148.3,263.3
"GastonCounty",129.6,50.2,120.1,76.8,102.9,91.1,272.3,280.5,178.7,223.9,106.8,51.2,39.8,50.6,329,299.4,153,33.6,122.1,201.5,296.1,194.6,29.3,184.8,265.5,160.2,340.4,356.6,79.3,81.2,221.6,160,223.1,96.7,199.9,9.8,305.7,194.4,188.1,230.7,108,236.9,157.6,120.4,83.7,289.1,138.6,329.2,54.6,145.7,181.3,256.1,138.3,231.1,16.5,75.7,163.3,124.6,253.9,22.9,102.8,84.3,118.9,206.1,229.1,258.3,267.8,150.3,286.5,320.6,243.9,305.7,173.6,240.3,63.7,92.8,102.6,147.1,139.8,54.1,50.8,195.1,123.3,62.4,121,110.9,157.9,106.5,319.9,49.8,198.2,157.3,217.4,287.6,81.1,208.4,78.4,204.5,93.3,107
"GatesCounty",178.1,288.8,298.3,262.8,312.6,338.7,91.3,39.7,194.3,223.1,368.9,313.3,268.4,312.6,41.8,152.3,165.9,291.5,185.2,475.5,35,468.5,332.6,220.7,118.4,186.6,54.8,104.2,228.7,247.7,145.1,147.3,81.5,227.4,113.8,305.7,9.6,468.4,124.8,102.1,203,69.2,181.3,394.4,386.6,21.8,210.6,101,272,419.7,141.8,134.3,186.7,111.9,297.4,337.7,437.3,393,63.4,289.6,364.8,234.6,209.6,99.6,193.3,54,152.9,162.8,124.3,37.7,171.9,49.3,145.6,81.5,368.8,220.5,237.5,221.3,199,252.5,347.4,163,228.5,255.7,252.5,265.8,431.9,400.8,78.3,291.6,107.6,146.6,89.3,65.2,313.4,124.5,281.5,98.9,254.1,369.1
"GrahamCounty",292.3,196.2,234.9,270.6,210.8,164.7,457.5,457.3,372.5,417.6,101.3,157.9,233.6,172.6,505.8,490.6,315.7,179.1,311.5,36.1,472.9,54.6,173.7,378.6,456.7,354,517.2,533.3,243.6,224.3,425.3,322.7,399.9,245.2,362.6,194.4,468.4,8.9,350.8,415.8,266,405.9,356.1,74.4,114.7,451.8,332.4,514.4,204.8,59.8,372.5,447.3,327.7,422.3,192.2,133.9,55.9,120.8,430.7,216.7,150.3,278,316.6,382.9,422.9,421,471.5,312.9,477.7,497.4,454.2,482.5,336.2,425.5,131.5,272,296.3,340.9,282.6,230.3,145.9,412.5,317.1,256.2,265.7,254,37.9,106.8,496.7,243.6,360.9,343.5,380.1,464.4,180.4,399.6,208.1,389.7,236.4,134.1
"GranvilleCounty",60.5,171.2,180.7,153.6,195,221.1,138.6,140.2,145.6,202.9,251.3,195.7,150.8,195.1,163.9,188.1,46,173.9,67.1,357.9,155.7,350.9,216.8,171.4,154.2,109.3,176.9,216.2,111.1,130.1,122.8,29.7,82.8,109.8,36.6,188.1,124.8,350.8,11.9,109.5,85.4,69.2,86.8,276.8,269.7,108.1,122.8,195.5,154.4,302.1,70,144.8,77.5,119.8,179.8,220.1,319.7,275.4,113.5,172,247.2,130,100.4,65.7,173.1,77.3,169,45.2,175.2,159.8,151.7,165.4,25.7,119.2,251.2,103.4,128.3,143.9,79.1,134.9,229.8,110,127.9,137.6,134.9,148.2,314.3,283.2,179.5,189.3,17.2,42.7,36.4,147.2,195.8,97,163.9,83.4,136.5,251.5
"GreeneCounty",125.6,236.3,245.7,176.8,260,286.1,55.3,79.2,95.7,133.3,316.3,260.7,197.5,260.1,127.7,87.8,134.5,238.9,113.7,422.9,94.7,416,257.5,122.2,53.9,91.2,139.1,155.2,166.7,195.1,55.3,94.5,45.6,174.9,66.5,230.7,102.1,415.8,109.5,8.4,150.4,75.4,85.8,341.8,313.7,82.7,115.1,112.2,219.4,367.1,47.2,44.5,101.9,19.5,235.3,285.2,384.7,340.4,52.5,214.5,312.3,163,138.1,49.7,103.5,93.3,68.5,107.7,74.9,119.3,82.1,104.4,122,22.2,293.7,148.9,153.6,125.9,177,190.5,280.8,64.4,133,184.2,199.9,213.3,379.3,348.2,118.5,205.5,92.5,75.1,98.6,86.2,260.9,26,228.9,27.3,201.5,316.5
"GuilfordCounty",26.9,86.4,95.9,101.9,110.2,136.3,192,191.9,143.3,198.1,166.5,110.9,70.7,110.3,240.4,225.2,50.3,89.1,46.1,273.1,207.4,266.2,128.9,172.7,191.3,99.9,251.8,267.9,31.1,45.3,159.9,57.3,134.5,25.1,97.2,108,203,266,85.4,150.4,13.2,140.5,90.7,192,184.9,186.4,96.5,248.9,69.6,217.3,107.1,181.9,62.2,156.9,102.2,135.4,234.9,190.6,165.3,91.9,162.4,60.1,77.1,117.5,210.2,155.6,206.1,47.5,212.3,232,188.8,217.1,70.8,160.1,171.1,23.4,87.7,135.1,37,54.9,145.1,147.1,101.6,67.8,50.1,63.5,229.5,198.4,231.2,109.3,95.4,78.1,114.7,198.9,111.1,134.1,79.1,124.3,51.7,166.7
"HalifaxCounty",115.6,226.3,235.8,197.5,250.1,276.2,98,71.9,157.7,197.4,306.3,250.8,203.8,250.1,108.3,159.3,110.3,228.9,119.9,413,101.5,406,263.8,183.5,125.4,121.3,121.3,175.6,172.9,185.2,117.3,84.8,42.2,164.9,48.5,236.9,69.2,405.9,69.2,75.4,140.5,13.9,116,331.8,319.9,52.5,145.3,154.9,209.5,357.2,76.5,115.9,121.4,91,241.6,275.2,374.8,330.5,72.9,220.8,302.3,169.2,144.3,34.3,167.6,21.8,139.9,113.9,130.9,104.2,146.2,124.7,90,76.1,300,155.2,172.2,156,143.4,196.7,287,114.2,163.1,190.4,189.9,203.3,369.4,338.2,138.9,226.3,52,81.3,33.7,106.6,250.9,77.2,219,52.4,191.6,306.6
"HarnettCounty",81.6,176.5,186,107.7,200.3,226.4,135.5,145.5,66.8,121.7,256.6,201,121.8,200.4,194,158.6,92.2,179.2,58.5,363.2,161,356.3,186.3,96.1,124.7,25.7,205.4,221.5,102.8,135.4,77.7,53.3,102.2,115.2,76.3,157.6,181.3,356.1,81.4,85.8,90.7,116,12.6,282.1,240.6,148.5,46,192.4,159.7,307.4,45.3,115.3,26.1,90.3,158.9,225.4,325,280.7,118.9,134,252.6,75.1,50.2,84.2,128,133.9,123.9,60.2,145.7,185.6,106.6,170.7,89.2,103.6,220.7,85,78,63.4,117.3,126.6,207.8,52.1,63.9,96.4,140.2,153.6,319.6,288.5,184.8,136.4,88.7,42,103.3,152.5,201.1,67.6,169.2,71.8,141.8,256.8
"HaywoodCounty",218.2,122.1,160.9,196.6,136.7,90.7,383.4,383.3,298.5,343.6,27.3,83.9,159.6,98.5,431.8,416.6,241.6,105,237.5,81.5,398.8,74.5,99.7,304.5,382.7,280,443.1,459.3,169.5,150.3,351.3,248.6,325.9,171.1,288.6,120.4,394.4,74.4,276.8,341.8,192,331.8,282.1,12.1,40.6,377.7,258.4,440.3,130.7,25.7,298.5,373.3,253.6,348.3,118.2,59.9,43.3,46.8,356.6,142.7,76.3,204,242.6,308.8,348.8,347,397.5,238.9,403.7,423.4,380.2,408.5,262.2,351.5,57.4,198,222.3,266.8,208.5,156.2,71.8,338.5,243.1,182.2,191.7,179.9,37.9,54.1,422.6,169.5,286.8,269.5,306,390.3,106.4,325.5,134.1,315.7,162.4,60.1
"HendersonCounty",210.5,114.4,153.1,159.9,129,82.9,355.3,363.6,261.7,306.9,25.3,76.2,122.8,90.8,412,382.5,233.9,97.3,205.1,121.7,379.1,114.8,63,267.8,348.6,243.2,423.4,439.6,162.3,142.5,304.6,240.9,306.1,163.4,280.8,83.7,386.6,114.7,269,313.7,184.2,319.9,240.6,40.6,10,370,221.7,412.2,123,65.9,264.3,339.1,221.3,314.1,85.6,52.2,83.5,44.8,336.9,105.9,74.3,167.3,201.9,289.1,312.1,339.2,350.8,231.1,369.5,403.6,327,388.7,254.4,323.3,20.7,175.8,185.6,230.1,200.8,137.1,46.6,278.1,206.3,145.4,183.9,172.2,78.1,23.7,402.9,132.8,279.1,240.3,298.3,370.6,98.6,291.4,126.3,287.5,154.6,58.2
"HertfordCounty",161.5,272.2,281.6,244.2,296,322.1,72.2,20.6,174.9,203.7,352.2,296.7,251.8,296,60.9,133.2,149.3,274.8,166.6,458.9,54.1,451.9,316,201.3,99.3,153.9,73.9,123.3,212.1,231.1,125.7,130.7,62.1,210.8,97.2,289.1,21.8,451.8,108.1,82.7,186.4,52.5,148.5,377.7,370,9.8,177.8,108.2,255.4,403.1,109,114.9,168,92.5,280.8,321.1,420.6,376.4,44.4,273,348.2,215.9,190.9,81,173.9,37.4,133.8,146.2,105.2,56.8,152.5,60.7,129,62.1,352.1,201.8,218.8,188.6,182.4,235.9,330.8,143.6,195.7,237.1,235.8,249.2,415.3,384.1,85.5,272.9,91,128,72.7,51.6,296.8,105.2,264.9,79.5,237.5,352.5
"HokeCounty",94,156.4,191.8,61.9,206.1,220.8,164.8,174.8,53,100.9,236.5,180.9,102.5,180.3,223.3,165,124.6,159.1,73,339.5,190.3,332.6,167.3,69.1,154,21.8,234.7,250.8,92.8,118.1,83.2,98.3,131.5,121,123.4,138.6,210.6,332.4,122.8,115.1,96.5,145.3,46,258.4,221.7,177.8,10.2,221.8,139.6,283.7,74.6,144.6,48.8,107.6,142.4,205.4,301.3,262.6,148.2,112.2,232.5,55.8,25.5,115.3,105.7,163.2,129.4,89.3,175,214.9,112.1,200,121.2,132.9,201.7,75,39.5,28,128.2,108,188.8,56.7,18.1,77.1,146,159.4,295.9,244.5,214.1,90.6,135.7,87,150.4,181.8,207,84.9,175,101.1,147.6,236.7
"HydeCounty",224.1,334.8,344.2,283.4,358.6,384.6,60.5,89.1,206.4,222.9,414.8,359.3,296,358.6,90.4,139.3,233,337.4,212.2,521.4,67.2,514.5,356,232.9,105.4,197.8,101.8,73.3,265.2,293.6,154.3,193.1,114.4,273.4,160,329.2,101,514.4,195.5,112.2,248.9,154.9,192.4,440.3,412.2,108.2,221.8,19.4,318,465.7,152.9,125.1,213.7,121.1,333.9,383.7,483.2,439,87.6,313,410.8,261.5,236.6,133.3,189.1,145.4,139.9,206.2,111.3,82,181.1,67.1,220.6,92,392.2,247.5,260.3,232.5,275.6,289,379.3,175.1,239.6,282.7,298.4,311.8,477.8,446.7,27.2,312.1,186.1,173.6,173.8,58.2,359.4,136.7,327.4,125.8,300,415
"IredellCounty",95.9,25.2,66.8,86.9,74.5,89.5,261.1,261,188.8,233.9,105.2,49.7,40.4,49,309.4,294.2,119.3,27.8,115.1,211.8,276.5,204.9,60.5,194.8,260.4,169,320.8,337,47.2,27.9,228.9,126.3,203.5,48.8,166.2,54.6,272,204.8,154.4,219.4,69.6,209.5,159.7,130.7,123,255.4,139.6,318,12.5,156.1,176.1,250.9,131.3,225.9,33.9,74.1,173.6,129.4,234.3,38.5,101.2,78,120.2,186.5,239.1,224.6,275.1,116.6,281.3,301,257.9,286.1,139.9,229.1,99.5,75.7,112.6,157.2,86.2,31,83.8,216.1,133.4,71.9,69.3,57.6,168.2,137.1,300.3,60.8,164.5,147.2,183.7,268,75.3,203.2,43.3,193.3,40,105.4
"JacksonCounty",243.6,147.5,186.2,221.9,162.1,116,408.8,408.6,323.8,369,52.6,109.3,184.9,123.9,457.1,441.9,267,130.4,262.8,66.9,424.1,55.7,125,329.9,408,305.3,468.5,484.6,194.9,175.6,376.6,274,351.2,196.5,313.9,145.7,419.7,59.8,302.1,367.1,217.3,357.2,307.4,25.7,65.9,403.1,283.7,465.7,156.1,11.4,323.8,398.6,279,373.6,143.5,85.3,24.4,72.1,382,168,101.6,229.3,267.9,334.2,374.2,372.3,422.8,264.2,429,448.7,405.5,433.8,287.5,376.8,82.8,223.3,247.6,292.2,233.9,181.6,97.2,363.8,268.4,207.5,217,205.3,23.3,47.9,448,194.9,312.1,294.9,331.4,415.6,131.7,350.9,159.4,341,187.7,85.4
"JohnstonCounty",82.2,192.9,202.4,136.3,216.7,242.8,96,106,87.1,136.4,273,217.4,148.2,216.8,154.5,120,91.6,195.6,64.3,379.6,121.5,372.6,210,112.8,86.1,50.7,165.9,182,117.3,151.8,56.3,51.4,62.7,131.6,50.2,181.3,141.8,372.5,70,47.2,107.1,76.5,45.3,298.5,264.3,109,74.6,152.9,176.1,323.8,14.5,76.7,65.8,51.7,186,241.8,341.4,297.1,79.4,165.2,268.9,113.7,88.7,46.4,106.6,94.4,102.5,60.8,107.1,146.1,85.2,131.2,79.2,64.1,244.4,99.6,113.1,85.3,133.7,141.1,231.4,43.5,92.5,134.8,156.6,169.9,336,304.9,145.3,165,72.5,32.2,87.1,113,217.5,29,185.6,32.3,158.2,273.2
"JonesCounty",157,267.7,277.2,206.3,291.5,317.6,68.2,99.9,96,118.5,347.8,292.2,223,291.6,148.4,58,166.4,270.4,139.1,454.4,115.4,447.5,283,128.5,24.1,120.7,159.8,169.9,192.2,226.6,46.5,126.2,86.5,206.4,111.7,256.1,134.3,447.3,144.8,44.5,181.9,115.9,115.3,373.3,339.1,114.9,144.6,125.1,250.9,398.6,76.7,11.2,131.4,27.2,260.8,316.6,416.2,371.9,81.8,240,343.7,180.4,155.4,94.9,84.7,133.9,35.6,135.6,45.1,140,68.6,125.1,154,53.5,319.2,174.4,183.1,155.3,208.5,215.9,306.3,73.3,162.5,209.7,231.4,244.8,410.8,379.7,133.2,235,137.8,107,143.9,100.9,292.3,55.4,260.4,67.9,233,348
"LeeCounty",48.7,148.1,157.5,79.7,171.9,197.9,156.8,165.1,78.7,133.5,228.1,172.6,105.1,171.9,213.5,174.7,79.3,150.7,27.7,334.7,180.6,327.8,166.9,106.1,140.8,35.3,224.9,241.1,74.3,106.9,93.8,53.1,107.6,86.7,82.8,138.3,186.7,327.7,77.5,101.9,62.2,121.4,26.1,253.6,221.3,168,48.8,213.7,131.3,279,65.8,131.4,8.3,106.4,143,197,296.5,252.3,138.4,110.3,224.1,51.4,26.5,90.6,131.3,139.3,140,44,161.8,205.1,122.7,190.2,76,124.8,201.3,56.6,54.4,73.4,88.9,98.1,188.4,68.2,53.9,72.7,111.7,125.1,291.1,260,204.4,108.4,87.6,41.8,106.2,172.1,172.7,83.6,140.7,89,113.3,228.4
"LenoirCounty",132.1,242.7,252.2,169.2,266.5,292.6,64.2,89.1,89.3,113.3,322.8,267.2,198,266.6,137.5,70.5,141.4,245.4,114.2,429.4,104.6,422.5,258,115.8,36.7,83.6,148.9,165.1,167.2,201.6,35.3,101.2,61.5,181.4,86.8,231.1,111.9,422.3,119.8,19.5,156.9,91,90.3,348.3,314.1,92.5,107.6,121.1,225.9,373.6,51.7,27.2,106.4,10.3,235.8,291.6,391.2,346.9,62.4,215,318.8,155.4,130.4,69.9,83.5,108.9,51.2,110.7,57.6,129.1,62.1,114.2,129,31.1,294.2,149.4,146.1,118.3,183.5,191,281.3,58.1,125.4,184.7,206.4,219.8,385.8,354.7,128.4,198,112.8,82,118.9,96.1,267.4,30.5,235.4,42.9,208,323
"LincolnCounty",121.3,36.2,99.4,80.6,88.8,77,277,285.2,182.5,227.6,92.7,37.2,39.9,36.5,333.7,304.1,144.7,19.5,126.8,199.3,300.8,192.4,26.6,188.6,270.2,164,345.1,361.2,71,60.5,238.8,151.7,227.8,81.4,191.6,16.5,297.4,192.2,179.8,235.3,102.2,241.6,158.9,118.2,85.6,280.8,142.4,333.9,33.9,143.5,186,260.8,143,235.8,9,61.6,161.1,116.8,258.6,31.2,88.7,85.5,120.2,210.8,232.9,250,285,141.9,291.2,325.3,247.7,310.4,165.2,245,65.6,97.4,106.3,150.9,118.8,45.8,52.7,198.9,127.1,71.4,101.9,90.2,155.7,108.4,324.6,53.6,189.8,161.9,209.1,292.3,67,213.1,64.3,209.2,72.6,92.9
"McDowellCounty",161.6,65.5,104.2,151.9,80.1,34,326.8,326.7,253.7,298.9,34.4,27.3,101.5,41.9,375.1,360,185,48.4,180.8,141,342.2,134.1,49.8,259.8,326.1,234.7,386.5,402.7,112.9,93.6,294.6,192,269.2,114.5,231.9,75.7,337.7,133.9,220.1,285.2,135.4,275.2,225.4,59.9,52.9,321.1,205.4,383.7,74.1,85.3,241.8,316.6,197,291.6,61.6,10.9,102.8,58.5,300,98,28.3,148.1,185.9,252.2,304.1,290.3,340.8,182.3,347,366.7,323.6,351.8,205.6,294.8,48.7,141.4,177.6,222.1,151.9,99.6,28.1,281.9,198.3,132.9,135.1,123.3,97.4,66.3,366,124.8,230.2,212.9,249.4,333.7,49.7,268.9,77.4,259,105.8,32.5
"MaconCounty",261.1,165,203.8,239.5,179.6,133.6,426.3,426.2,341.4,386.5,70.2,126.8,202.5,141.4,474.7,459.5,284.5,147.9,280.4,52,441.7,33.1,142.6,347.4,425.6,322.9,486.1,502.2,212.4,193.2,394.2,291.5,368.8,214.1,331.5,163.3,437.3,55.9,319.7,384.7,234.9,374.8,325,43.3,83.5,420.6,301.3,483.2,173.6,24.4,341.4,416.2,296.5,391.2,161.1,102.8,11.7,89.7,399.5,185.6,119.2,246.9,285.5,351.8,391.7,389.9,440.4,281.8,446.6,466.3,423.1,451.4,305.1,394.4,100.3,240.9,265.2,309.8,251.4,199.1,114.8,381.4,286,225.1,234.6,222.9,35.4,55.2,465.5,212.4,329.7,312.4,348.9,433.2,149.3,368.4,177,358.6,205.3,103
"MadisonCounty",216.9,120.8,135.7,200.8,111.6,65.5,382,381.9,302.7,347.9,24.3,82.5,156.7,97.2,430.4,415.2,240.3,103.7,236.1,127.9,397.5,121,103.9,308.8,381.3,290,441.8,457.9,168.2,148.9,349.9,247.3,324.5,169.8,287.2,124.6,393,120.8,275.4,340.4,190.6,330.5,280.7,46.8,44.8,376.4,262.6,439,129.4,72.1,297.1,371.9,252.3,346.9,116.8,58.5,89.7,10.9,355.3,146.9,47.3,208.2,241.2,307.5,353.1,345.6,396.1,237.5,402.3,422,378.8,407.1,260.8,350.1,61.7,196.6,226.5,271.1,207.2,154.9,70.5,337.1,247.3,186.4,190.3,178.6,84.3,58.3,421.3,173.8,285.5,268.1,304.7,389,81.2,324.2,132.7,314.3,161,31.1
"MartinCounty",140.4,251.1,260.5,214.5,274.9,301,35,25.3,145.3,173.6,331.1,275.6,220.8,274.9,73.8,96,149.3,253.7,136.9,437.8,40.8,430.8,280.8,171.7,62.1,124.2,85.1,101.7,189.9,210,95.6,109.6,32.5,189.7,78,253.9,63.4,430.7,113.5,52.5,165.3,72.9,118.9,356.6,336.9,44.4,148.2,87.6,234.3,382,79.4,81.8,138.4,62.4,258.6,300,399.5,355.3,11.1,237.8,327.1,186.2,161.3,51.3,143.8,76.2,96.5,130.9,67.9,65.3,122.4,50.4,136.9,31.9,317,172.2,189.2,158.9,191.9,213.7,304,114,166.1,207.4,214.7,228.1,394.2,363,65,243.3,104.1,98.3,91.8,32.7,275.7,75.5,243.8,49.9,216.4,331.4
"MecklenburgCounty",112.8,61.6,103.3,50.5,110.9,112.7,255.4,263.7,152.4,197.5,128.4,72.8,23,72.2,312.2,282.6,136.2,55.2,105.3,223.1,279.2,216.2,50.9,158.4,248.7,133.9,323.6,339.7,62.5,64.4,195.3,143.1,206.3,79.9,183.1,22.2,288.9,216,171.3,213.8,91.2,220.1,134.1,142,105.3,272.3,112.3,312.3,37.8,167.3,164.5,239.3,110.4,214.3,30.5,97.3,184.9,146.2,237.1,12.1,124.3,60.7,95.4,189.3,202.7,241.5,241.5,133.4,269.7,303.8,217.6,288.9,156.7,223.5,85.3,75.9,76.2,120.8,122.9,37.3,72.4,168.8,97,38.9,104.2,94.1,179.5,128.1,303,23.5,181.3,140.4,200.6,270.7,102.7,191.6,79.8,187.7,76.5,128.6
"MitchellCounty",188.7,92.6,100.9,178.9,76.8,30.8,353.9,353.8,280.8,326,53.8,54.4,128.6,69,402.3,387,212.1,75.5,207.9,157.4,369.3,150.4,76.8,286.9,353.2,261.8,413.6,429.8,140,120.7,321.8,219.1,296.3,141.6,259,102.8,364.8,150.3,247.2,312.3,162.4,302.3,252.6,76.3,74.3,348.2,232.5,410.8,101.2,101.6,268.9,343.7,224.1,318.8,88.7,28.3,119.2,47.3,327.1,125.1,7.7,175.2,213,279.3,331.2,317.4,367.9,209.4,374.1,393.8,350.7,378.9,232.7,321.9,75.8,168.5,204.7,249.2,179,126.7,55.2,309,225.4,160.1,162.1,130.7,113.8,87.8,393.1,151.9,257.3,240,276.5,360.8,46.4,296,84.9,286.1,113.2,16.8
"MontgomeryCounty",73.7,99.2,136.1,48.1,150.4,163.5,204.6,212.9,108.6,171.1,179.2,123.7,48.4,123,261.4,223.7,105,101.8,68,285.1,228.4,278.2,111.1,132,189.8,73.9,272.8,288.9,43.1,68.5,138.2,101.2,155.5,67.3,130.6,84.3,234.6,278,130,163,60.1,169.2,75.1,204,167.3,215.9,55.8,261.5,78,229.3,113.7,180.4,51.4,155.4,85.5,148.1,246.9,208.2,186.2,60.6,175.2,11.5,36.4,138.4,176.3,187.1,184.4,94.4,210.8,253,167.1,238.1,125.6,172.7,147.3,38.6,47,94.3,91.8,54.2,134.4,105.1,60.9,23,91.7,105.7,241.5,190.1,252.2,59.6,140,89.6,159.2,219.9,151.2,128.1,119.3,136.9,91.9,179.4
"MooreCounty",71.6,137,172.4,56.4,186.7,201.4,179.7,188,78.3,139,217.1,161.5,83.1,160.9,236.4,198.8,102.2,139.7,50.6,323.7,203.5,316.8,147.6,99.9,164.9,46.3,247.8,264,73.3,98.7,107.7,76,130.5,101.6,105.7,118.9,209.6,316.6,100.4,138.1,77.1,144.3,50.2,242.6,201.9,190.9,25.5,236.6,120.2,267.9,88.7,155.4,26.5,130.4,120.2,185.9,285.5,241.2,161.3,95.3,213,36.4,13.7,113.5,130.9,162.2,153.9,66.9,185.8,228,136.6,213.1,98.9,147.7,182,55.6,31,53.2,108.8,88.6,169.1,81.2,30.6,57.7,126.6,139.9,280.1,224.8,227.3,85.1,110.5,64.7,129.1,195,187.5,103.2,155.6,111.9,128.2,217.3
"NashCounty",92.6,203.3,212.8,166.7,227.1,253.2,76.4,78,127.7,167.4,283.3,227.8,172.9,227.1,126.5,138.2,101.5,205.9,89.1,390,93.5,383,234.7,153.5,104.3,91.3,137.8,154,142.1,162.2,87.2,61.8,20.5,141.9,30.2,206.1,99.6,382.9,65.7,49.7,117.5,34.3,84.2,308.8,289.1,81,115.3,133.3,186.5,334.2,46.4,94.9,90.6,69.9,210.8,252.2,351.8,307.5,51.3,190,279.3,138.4,113.5,12,137.6,52.2,118.9,83.1,109.3,118.1,116.2,103.1,89.1,54.5,269.1,124.4,141.4,126,144.1,165.9,256.2,84.2,133.1,159.6,166.9,180.3,346.4,315.2,117.3,195.5,56.3,50.5,44,85,227.9,47.2,196,18.9,168.6,283.6
