"County","AuroraCounty","BeadleCounty","BennettCounty","BonHommeCounty","BrookingsCounty","BrownCounty","BruleCounty","BuffaloCounty","ButteCounty","CampbellCounty","CharlesMixCounty","ClarkCounty","ClayCounty","CodingtonCounty","CorsonCounty","CusterCounty","DavisonCounty","DayCounty","DeuelCounty","DeweyCounty","DouglasCounty","EdmundsCounty","FallRiverCounty","FaulkCounty","GrantCounty","GregoryCounty","HaakonCounty","HamlinCounty","HandCounty","HansonCounty","HardingCounty","HughesCounty","HutchinsonCounty","HydeCounty","JacksonCounty","JerauldCounty","JonesCounty","KingsburyCounty","LakeCounty","LawrenceCounty","LincolnCounty","LymanCounty","McCookCounty","McPhersonCounty","MarshallCounty","MeadeCounty","MelletteCounty","MinerCounty","MinnehahaCounty","MoodyCounty","PenningtonCounty","PerkinsCounty","PotterCounty","RobertsCounty","SanbornCounty","ShannonCounty","SpinkCounty","StanleyCounty","SullyCounty","ToddCounty","TrippCounty","TurnerCounty","UnionCounty","WalworthCounty","YanktonCounty","ZiebachCounty"
"MoodyCounty",124.7,112.3,345,134.8,35.1,181.6,153,139,438.7,279,159.3,111.4,93.8,83.8,338.9,416,101.2,134.4,65.8,296.9,137.6,219.6,438.5,192.1,101.4,206,299.8,75.5,154.3,85.9,493.4,216.1,101.2,179.4,292.3,100.9,238.3,70.7,27.8,418.3,60.1,191.4,66.4,240.5,162.8,428.6,263.6,52.1,35.6,11.7,375.6,444.9,230.2,130,77.3,379.5,146.6,260.3,221.2,289.6,225.4,76.6,94.7,265.3,109.9,330.3
"PenningtonCounty",251.5,298.9,161.1,332.3,395.4,371.8,222.8,224.9,76.5,301.7,290.8,360.2,387.5,390.2,229.5,49.2,274.9,403.8,426.1,209.9,281.5,319.5,71.7,304.8,461.8,259.8,108.9,368.8,270.5,289.8,131.1,205.7,316.4,250.7,94.6,259.7,146.5,335.9,354.1,56,369.1,184.4,310.4,337.7,432,66.4,164.7,324.5,344.5,375.6,27.2,171.1,255.9,464.5,282.3,74.6,329.2,161.9,225.6,190.7,217.5,353.8,403.6,284.6,355.8,162.9
"PerkinsCounty",320.8,302,230.4,401.5,381.7,241.7,292.1,256.3,127.8,163,360.1,296.5,456.8,322.7,105.4,209.7,344.2,281,358.5,111.2,350.8,194.4,232.2,220.4,326.4,329.1,144.8,346.5,255.8,359.1,70.8,199.9,385.7,232.6,163.9,291,215.8,339,365.8,153.2,438.3,253.7,379.6,201.4,293.5,148.6,234,340.8,413.8,444.9,170.6,27.7,177.5,325.1,313.6,243.9,266.1,174.5,188.4,260,286.7,423.1,472.9,147.4,425.1,87.1
"PotterCounty",161.9,130.5,225.3,242.7,201.9,114.8,133.2,103,210,64.4,201.3,122.8,297.9,154.7,121,296.3,185.3,154.1,178.7,70.5,191.9,67.3,318.8,46.7,194.3,179.1,133,171,82,200.3,228.9,55.2,226.8,58.9,172.6,137.8,118.5,167.6,209,235.4,279.5,123.1,220.8,85.5,174.2,202.3,143.9,184,255,230.2,255.9,177.5,15.4,197.1,156.8,259.8,92.3,75.7,31.6,169.8,156.2,264.2,314.1,47.4,266.2,103.8
"RobertsCounty",213.6,147.5,433.9,249.5,101.8,100.9,241.9,223.5,403.4,163.4,274,89.5,208.4,61.9,254.1,504.8,190.1,53.7,78.6,263.9,226.4,138.8,527.3,151.6,46.4,320.6,317.1,76,175,174.8,376.5,239.4,215.8,202.7,381.2,185.4,327.1,111.5,118.9,428.8,174.8,280.3,155.3,124.9,37.6,395.7,352.5,142.9,150.3,130,464.5,325.1,197.1,17.3,168.1,468.3,124.7,259.9,224.9,378.4,314.2,191.2,209.4,184.6,224.6,297.2
"SanbornCounty",49.2,32.2,251.6,81.9,91,130,77.5,62,345.3,212.2,98.4,92.1,137.2,114.2,268.2,322.6,29.7,127.8,127.8,221.2,67.4,150.8,345.1,118.7,163.4,147.7,206.5,92.8,74.3,39.5,400,136.1,66.1,99.3,198.9,24,144.9,60,52.5,324.9,118.7,98.1,60,173.7,164,282.1,170.2,27.5,94.2,77.3,282.3,313.6,156.8,168.1,12.3,286.1,78.6,139.3,141.1,196.2,136.6,103.5,153.3,194.6,105.4,242.4
"ShannonCounty",255.3,302.7,61.6,279,399.3,375.6,226.6,228.7,149.8,305.5,242.6,364,334.3,394,281,120.3,278.8,407.6,430,230.1,236.9,323.4,104.6,308.7,465.6,200.1,129.5,372.6,274.3,293.7,204.5,209.5,271.4,254.6,98.5,263.5,150.4,339.8,357.9,129.4,372.9,188.2,314.2,341.5,435.8,139.7,134.6,328.3,348.4,379.5,74.6,244.4,259.8,468.3,286.1,23.6,333.1,182.1,229.4,115.4,159.5,308.9,352.3,288.5,306.3,214.5
"SpinkCounty",99.8,49.5,298.6,160.2,118.4,64.4,128.1,108.7,298.6,146.8,150.7,39.2,225.1,71.1,206.7,369.6,108,84.4,95.2,159.1,119.7,87.3,392.1,54.2,121.8,198.4,201.3,87.5,59.1,117.8,317.5,123.5,144.4,86.8,245.9,74.6,191.8,85.1,127.1,324,191.4,145,138.3,108.3,111,286.9,217.2,105.8,166.9,146.6,329.2,266.1,92.3,124.7,78.6,333.1,20,144.1,120.2,243.1,183.6,181.8,226,133.1,183.7,192.5
"StanleyCounty",136.1,130.3,147.6,216.9,205.4,186.8,107.4,81.9,193.9,121.5,175.4,174.5,272.1,206.4,158.9,202.2,159.6,219.7,225.9,102.3,166.1,139.4,224.7,118.7,257.1,144.5,57.4,195.8,85.3,174.4,225.9,25.5,201.1,65.6,94.9,116.7,64.4,167.3,191.5,181.5,253.7,69,195,157.5,246.2,143,89.7,166.5,229.2,260.3,161.9,174.5,75.7,259.9,139.3,182.1,144.1,20,45.4,115.7,102.1,238.4,288.3,104.5,240.4,103.3
"SullyCounty",146,114.8,195,226.8,189.9,142.6,117.3,87.1,220.9,77.3,185.4,150.6,282,182.5,133.9,265.9,169.4,181.9,206.6,81.4,176,95.2,288.4,74.5,222.1,168.3,102.6,180.3,69.8,184.4,239.8,24.9,210.9,50.1,142.3,121.9,88.2,151.8,193.3,226.8,263.6,92.8,204.9,113.3,202,188.2,113.5,168.3,239.1,221.2,225.6,188.4,31.6,224.9,141.1,229.4,120.2,45.4,16.8,139.5,125.9,248.3,298.2,60.3,250.3,114.8
"ToddCounty",165.4,212.8,66.8,176,309.3,285.7,136.7,138.8,253.8,215.6,139.6,274.1,231.3,304.1,241.5,196.1,188.9,317.7,340,185,133.9,233.4,180.4,218.8,375.7,97.2,114.9,282.7,184.4,203.8,308.5,119.6,168.4,164.7,107.3,173.6,60.5,249.9,268,233.4,221.5,98.3,224.3,251.6,345.9,243.7,31.6,238.4,258.5,289.6,190.7,260,169.8,378.4,196.2,115.4,243.1,115.7,139.5,19.2,56.5,205.9,249.3,198.6,203.3,185.9
"TrippCounty",101.2,153.2,110.8,122.6,245.1,226.1,72.5,79.2,280.5,202,86.3,214.5,177.9,260.9,268.3,257.8,124.7,274.5,275.8,211.8,80.5,199.3,224.5,159.1,311.5,43.8,141.7,239.5,124.8,139.6,335.2,106,115.1,105.1,134.1,114,80.1,206.6,203.8,260.1,168.1,57.5,160.1,230,286.3,270.4,58.4,174.2,194.3,225.4,217.5,286.7,156.2,314.2,136.6,159.5,183.6,102.1,125.9,56.5,20.7,152.5,195.9,184.9,149.9,212.7
"TurnerCounty",102.9,135.4,260.3,68.7,96.3,242.9,131.2,165.5,416.9,319,93.3,146.1,39.7,123.2,375.6,394.1,79.4,195.7,127.1,348.1,73.2,256.5,416.6,224.4,162.7,139.4,278,104.7,180.9,64.1,471.6,242.3,46.5,206.5,270.5,129.3,216.4,99,57.1,396.5,28.9,169.6,44.6,278.4,224.1,406.8,241.8,79.4,43.9,76.6,353.8,423.1,264.1,191.2,103.5,308.9,181.8,238.4,248.2,205.9,152.5,12.8,57.5,302,43.9,349
"UnionCounty",152.7,185.2,303.6,77,114.5,261,181,215.3,466.7,358.4,121.1,190.8,29.6,163.2,418.3,444,129.2,213.9,145.2,397.9,123.4,299,466.5,274.3,180.8,160.4,327.8,154.9,230.7,113.9,521.4,292.1,96.7,256.3,320.3,179.1,266.3,150.1,107.2,446.3,44.7,219.4,94.4,319.9,242.2,456.6,291.6,129.2,62,94.7,403.6,472.9,314,209.4,153.3,352.3,226,288.3,298.1,249.3,195.9,57.5,11.1,344.7,53.4,398.9
"WalworthCounty",199.7,168.3,254,280.5,237.1,97,171.1,140.8,228.2,26.5,239.1,161.6,343.8,178,76.3,325,223.2,136.3,213.9,101.2,229.8,49.8,347.5,84.5,181.7,216.9,161.7,201.9,119.9,238.1,198.8,83.9,264.7,96.7,201.3,175.6,147.3,205.4,244.7,253.6,310.1,151.9,258.6,65,157,220.5,172.6,221.8,285.6,265.3,284.6,147.4,47.4,184.6,194.6,288.5,133.1,104.5,60.3,198.6,184.9,302.1,344.7,14,304,122
"YanktonCounty",104.9,137.3,257.7,32.1,129.7,229.6,133.2,167.5,418.9,321,75.2,153.9,39.8,178.5,377.5,396.1,81.4,182.5,160.4,350.1,77.3,258.5,418.6,226.4,196.1,114.4,280,136.7,182.9,66,473.6,244.3,53,208.4,272.4,131.3,218.4,114.6,96.1,398.5,60,171.6,52.4,280.4,216.8,408.8,205.2,87.2,77.3,109.9,355.8,425.1,266.1,224.6,105.4,306.3,183.7,240.4,250.2,203.3,149.9,43.9,53.4,304,11.9,351
"ZiebachCounty",246.7,228.3,193.8,327.5,302,214.9,218,185,119.6,137.6,286.1,222.9,382.8,254.8,80,201.6,270.2,254.2,278.9,53.5,276.7,167.5,224.1,146.8,294.4,255.1,108.2,271.1,182.1,285.1,138.5,128.6,311.7,159,127.3,219.8,141.8,265.4,294.6,145,364.3,179.6,305.6,176.1,268.1,112,159.9,269.6,339.8,330.3,162.4,87.1,103.8,297.2,242.4,214.5,192.5,103.3,114.8,185.9,212.7,349,398.9,122,351,22.8
