"County","AitkinCounty","AnokaCounty","BeckerCounty","BeltramiCounty","BentonCounty","BigStoneCounty","BlueEarthCounty","BrownCounty","CarltonCounty","CarverCounty","CassCounty","ChippewaCounty","ChisagoCounty","ClayCounty","ClearwaterCounty","CookCounty","CottonwoodCounty","CrowWingCounty","DakotaCounty","DodgeCounty","DouglasCounty","FaribaultCounty","FillmoreCounty","FreebornCounty","GoodhueCounty","GrantCounty","HennepinCounty","HoustonCounty","HubbardCounty","IsantiCounty","ItascaCounty","JacksonCounty","KanabecCounty","KandiyohiCounty","KittsonCounty","KoochichingCounty","LacquiParleCounty","LakeCounty","LakeoftheWoodsCounty","LeSueurCounty","LincolnCounty","LyonCounty","McLeodCounty","MahnomenCounty","MarshallCounty","MartinCounty","MeekerCounty","MilleLacsCounty","MorrisonCounty","MowerCounty","MurrayCounty","NicolletCounty","NoblesCounty","NormanCounty","OlmstedCounty","OtterTailCounty","PenningtonCounty","PineCounty","PipestoneCounty","PolkCounty","PopeCounty","RamseyCounty","RedLakeCounty","RedwoodCounty","RenvilleCounty","RiceCounty","RockCounty","RoseauCounty","StLouisCounty","ScottCounty","SherburneCounty","SibleyCounty","StearnsCounty","SteeleCounty","StevensCounty","SwiftCounty","ToddCounty","TraverseCounty","WabashaCounty","WadenaCounty","WasecaCounty","WashingtonCounty","WatonwanCounty","WilkinCounty","WinonaCounty","WrightCounty","YellowMedicineCounty"
"LacquiParleCounty",225.2,178.3,159.5,249.7,136.4,39.1,153.3,111.8,244.8,133.6,215.6,39.1,191.8,149.7,229.4,386.2,119.9,195.5,168.8,213.1,98,201.9,268.4,209.8,209.3,82.5,151.6,315.6,194.6,171.1,279.3,142.7,176.2,67.5,313.6,315.5,14.4,339,342,158.4,47.4,60.3,105.9,192.4,293.9,171.5,91.8,163.5,150.9,237,88.4,140.3,128.8,177.5,236.8,130.8,240.2,207.7,78.7,216.6,72.7,168.5,227,88.4,75.9,187.4,102.1,299.6,301.3,152.4,152.1,120.6,112.5,195.6,54.1,42,130.6,65.7,239.4,151.9,179.3,188.2,134.7,109.8,276.9,134.9,40.6
"LakeCounty",140.4,215,268.9,237.1,216.9,345,313.7,335.7,100.2,259,198.9,311.5,185.9,310.8,255,79.8,370.5,177.5,236.7,289.4,288,347.9,332.1,317.9,273,317.1,229.8,323.4,225.1,187.2,175.8,385.1,165.2,271.5,380.5,196.7,339,28.1,268.6,286.5,371.8,346.4,286.6,272.4,348.7,357.8,260.6,192.3,213.5,315.9,373.8,304.4,407.4,308.8,300.5,269.7,317.5,138.6,384.7,308.3,286.2,217.8,304.3,352.3,321,266.8,433.9,319.3,121.3,251.8,227.5,293.9,235.7,291.3,311.2,302.1,259.5,337.4,303.1,242.8,306.1,228,342.8,303.2,340.6,241.5,332.6
"LakeoftheWoodsCounty",197.5,305.7,207.3,107.3,268,323,389.1,378.8,217.7,338.1,183.1,342.2,299.4,220.6,136.8,333.2,395.1,207,350.2,402.9,254.2,448.1,445.6,418.1,386.5,280.2,319.3,492.8,153.5,280.9,145.6,417.2,253.3,302.3,116.8,85,342,268.6,21.7,373.8,449.6,377.1,324.8,173.5,119.8,410.7,313.3,252.2,235.5,428.3,404.5,369.2,441.6,188.3,414,248.5,121.5,252.1,481.7,149.1,274.1,331.3,137.5,370,338.6,367,512,56.2,194.1,342.7,294,348,271.4,391.5,298.9,304.2,235.3,297.3,416.6,200.3,406.3,341.5,395.7,258,454.1,308.5,349.9
"LeSueurCounty",192.1,83.6,262.5,294,129.4,186.3,35.8,60.6,192.4,53.6,230.4,134.4,114.6,280.1,295.1,333.8,92.6,190.5,57.9,66.6,189.8,76.6,121.4,75.8,67,218.9,63.5,168.6,245.2,120.8,246.3,107.3,136.9,119,446.3,323.3,158.4,286.5,373.8,11.2,147.3,122.5,64.2,296.8,375.9,80,92.9,124.5,152.9,85.9,129.8,26.5,129.5,307.9,88.2,237.7,344.7,155.3,145.1,346.9,187.9,70.8,331.4,88.4,89.8,28.8,156,397.5,248.8,36.2,101.9,39.9,137.5,49.1,175.8,153.8,182.6,239.2,89.8,220.2,39.5,83,64.9,250.5,129.9,88.9,137
"LincolnCounty",265.2,192.6,204.6,294.8,169.3,80.7,137.4,95.9,277.7,146.5,268.5,73.7,230.6,217.8,274.5,419,90.1,235.5,177.1,197.1,143.1,171.9,269.6,203,200.2,127.6,171.7,299.2,239.8,204,319.3,112.7,209.1,100.4,361.6,360.7,47.4,371.8,449.6,147.3,12.1,30.4,135.5,237.5,341.9,141.6,124.7,196.3,190.9,230.2,55.8,126.9,82.6,251.5,218.8,175.9,285.3,240.5,32.5,286.9,117.8,192.6,272.1,61.5,89.2,173.2,55.9,403.6,334.1,155.3,184.9,113.6,145.3,179.6,99.3,87.2,169.1,107.3,230.2,197,163.4,204.8,113.9,151.4,260.4,167.7,49
"LyonCounty",239.9,167.3,205.7,284.8,143.9,93.6,112.6,71.1,252.3,121.1,243.1,58.8,205.2,201.9,263,393.7,70,210.2,151.7,172.3,127.7,149.1,246.8,180.2,174.8,128.7,146.4,274.4,229.7,178.6,294,89.9,183.7,75,378.1,350.6,60.3,346.4,377.1,122.5,30.4,13.8,110.1,238.6,358.5,118.8,99.3,171,165.6,207.4,35.7,102.1,73,229.7,194,175.7,286.4,215.2,41,268.7,102.7,167.3,273.2,36.1,63.9,147.9,68.3,345.8,308.8,130,159.6,88.3,120,154.8,100.3,80.9,143.8,120.2,204.9,187,138.6,179.5,93.8,164.2,235.6,142.4,24.4
"McLeodCounty",165.5,76.7,200.9,232.4,69.6,133.5,66,69,192.5,30.6,168.7,75.2,114.7,215.5,233.4,333.9,106.2,135.8,65.7,126.3,125.2,106.6,165.3,119.4,106.3,132.5,55.8,212.5,183.6,113.9,219.6,128.2,109.3,58.8,381.7,283.6,105.9,286.6,324.8,64.2,135.5,110.1,11.6,235.2,314.2,100.9,30.4,96.6,91.2,145.6,135.3,46.1,150.4,243.3,133.7,173.2,283,155.3,148.4,282.3,100.7,72.9,269.8,85.6,50.4,84.3,177,335.8,248.9,49.3,72.9,24.9,72.9,108.8,116.6,94.6,119.5,152,136.4,158.6,88.8,85.1,85.9,185.9,173.8,54.7,96.3
"MahnomenCounty",155.5,230.6,53.7,80.5,178.4,171,299.5,261.1,192.6,248.5,101.7,189.1,243.2,68.7,37.8,319.6,286.8,145.9,271.4,332,127.8,371.2,369.6,341.2,310.6,116,242.4,416.8,61.8,222.6,148.8,308.9,206.4,193.9,125.5,147,192.4,272.4,173.5,296.8,237.5,238.6,235.2,12.4,93.7,316.1,206.2,189.1,146,351.3,266.8,279.6,303.9,37.3,338,90.3,62.4,219.8,268.8,53.3,156.7,253,49.2,261.6,230.3,290,347.5,121.8,193,265.7,204.4,258.4,182.9,314.5,145.6,171.7,121.7,145.3,340.6,91.2,329.4,265.8,284,107.8,378.1,218.9,216.4
"MarshallCounty",239.3,309.7,132.8,119.2,257.5,257.3,378.6,340.2,261.9,327.5,185.4,268.2,322.2,127.7,94.9,388.9,365.8,229.7,350.4,411,206.9,450.2,448.7,420.2,389.6,195,321.4,495.9,155.9,301.6,205.8,387.9,290.1,272.9,50.5,183.2,293.9,348.7,119.8,375.9,341.9,358.5,314.2,93.7,21.9,395.2,285.2,272.9,225,430.4,394.4,358.7,427.1,94.3,417.1,169.4,35,296.3,374,62.6,235.8,332,51,340.6,309.3,369.1,404.3,73.8,250.1,344.8,283.5,337.5,262,393.5,224.6,250.8,200.7,231.6,419.7,177.8,408.4,344.9,363.1,171.6,457.1,298,295.4
"MartinCounty",260.2,151.7,281.8,318.4,155.5,204.8,55,58.4,263.7,110.5,254.7,149.3,185.9,289.4,319.4,405.1,54.4,221.8,147.8,110.4,199.1,30.9,128.6,62,159.1,216.8,131.6,176.5,269.5,188.8,314.3,37.8,204.9,133.9,455.7,369.6,171.5,357.8,410.7,80,141.6,118.8,100.9,316.1,395.2,13.9,116.3,192.6,177.2,89.2,84.9,70.3,62.7,317.2,122.2,247.1,363.9,226.6,115,356.3,183.2,160.8,350.7,86.9,104.6,110.8,89.2,421.8,320.2,107.2,169.9,78.8,158.9,88.8,190.7,168.6,193.4,231.4,159.6,244.6,87,173,35.3,259.8,156,135.8,135.6
"MeekerCounty",154,78.2,171.9,220.9,58.1,113.5,94.7,73.9,166.5,54.5,157.3,64.4,119.8,179.5,202.7,307.8,111.2,124.3,88.4,149,89.2,135.2,186.6,158.1,127.6,105.1,60.9,233.8,172.1,92.8,208.1,133.2,97.9,28.6,345.8,272.2,91.8,260.6,313.3,92.9,124.7,99.3,30.4,206.2,285.2,116.3,13.1,85.1,79.8,168.3,126.7,74.8,155.4,207.3,155,137.2,254,129.3,137.6,246.3,73.3,77.9,240.8,90.5,52.7,107,164.9,313.4,222.9,78,61.1,53.6,33.3,131.5,91.6,69.6,83.5,127.6,157.6,126.7,117.5,99.6,96.8,149.9,195.1,42.9,85.5
"MilleLacsCounty",70.5,58.5,155.9,178.1,41.4,169.5,148.4,150.6,98.2,90,106.6,136.1,60.1,181.7,179.2,239.5,187.9,68.9,99.1,159.7,112.5,198.9,197.3,168.9,138.3,141.7,70,244.5,136.4,39.5,124.7,219.9,29.6,96.1,304.7,201.7,163.5,192.3,252.2,124.5,196.3,171,96.6,189.1,272.9,192.6,85.1,13.4,46.3,179,198.4,139.1,242.1,209.5,165.7,140.5,241.6,61,209.2,232.5,110.7,77.8,228.4,163.8,132.4,117.7,236.5,281.5,154.6,93.4,52,124.9,60.2,142.2,135.8,126.6,81.2,161.9,168.3,113.6,157,90.6,177.5,173.2,205.8,66.4,157.1
"MorrisonCounty",74.4,86.7,111.7,143.2,34.5,142.8,155.6,145.3,119.8,104.5,77.6,130.7,99.2,137.4,144.2,260.8,182.5,44.7,127.4,188,64.4,227.2,225.6,197.2,166.6,100,98.4,272.9,94.3,78.6,128.5,204.5,76.1,90.7,256.8,192.5,150.9,213.5,235.5,152.9,190.9,165.6,91.2,146,225,177.2,79.8,46.3,17.5,207.4,193,135.7,226.7,165.2,194.1,96.3,193.8,99.8,203.9,184.6,83,109,180.6,158.4,127.1,146.1,231.2,246.6,175.9,121.8,60.5,114.5,54.9,170.5,109,113.1,36.9,120.3,196.7,69.3,185.4,121.8,162.1,131.6,234.1,75,151.7
"MowerCounty",246.6,132.5,317,348.5,183.9,264.9,84.3,134.4,221.8,124,284.9,219.2,144,334.6,349.6,363.2,143,245,87.6,29.1,244.3,60.7,41.8,30.7,72.3,273.4,109.6,89.7,299.7,153.6,300.8,126.4,173.6,195.8,500.8,377.8,237,315.9,428.3,85.9,230.2,207.4,145.6,351.3,430.4,89.2,168.3,179,207.4,13.7,173.5,106.9,151.3,362.4,35.4,292.2,399.1,184.6,203.6,401.4,242.4,100.2,385.9,162.2,172.1,62.4,177.8,452,278.2,96.2,156.4,122.2,191.9,39.2,267.5,236.7,237.1,293.6,72.8,274.7,61.9,109.6,117.1,305,69.3,143.4,224.3
"MurrayCounty",267.3,192.2,233.9,312.2,171.3,121.8,104.8,75.6,279.7,146,270.5,86.2,235.8,230.1,290.4,421.1,45.3,237.6,178.8,170.5,155.9,115.3,212.9,146.4,187.5,156.9,171.3,260.9,257.1,206,321.4,56.1,211.1,102.4,414,378,88.4,373.8,404.5,129.8,55.8,35.7,135.3,266.8,394.4,84.9,126.7,198.4,193,173.5,13.8,106.6,39,257.9,206.5,203.9,314.6,242.6,28,296.9,130.9,194.3,301.4,63.5,91.3,152.1,54,374,336.1,157,187,113.2,147.4,173.2,128.5,109.1,171.1,148.4,210.3,214.4,136.7,206.5,67.7,192.4,240.4,169.8,52.6
"NicolletCounty",206.7,98.2,245.3,276.8,114,168.2,26.4,40.2,210.3,54.5,213.2,116.3,132.5,260,277.9,351.7,77.5,180.3,75.5,82.9,169.6,66.9,137.7,79.7,90.3,176.9,78.1,185,228,135.4,260.9,97.6,151.5,100.9,426.2,337.9,140.3,304.4,369.2,26.5,126.9,102.1,46.1,279.6,358.7,70.3,74.8,139.1,135.7,106.9,106.6,11.1,119.8,287.8,104.5,217.6,327.4,173.1,124.7,326.8,145.1,91,314.2,68,71.7,52,146.4,380.2,266.7,53.8,96.8,21.8,117.3,65.4,157.7,135.6,163.9,193,113.1,203,49.1,103.2,55.2,230.4,146.2,78.6,118.9
"NoblesCounty",309.7,201.2,271,349.3,205.1,162.1,104.5,90.5,313.2,160.1,304.2,123.3,235.4,303,327.5,454.6,50.3,271.3,178.4,172.6,193,93,190.7,124.1,221.2,194,181.1,238.6,294.2,238.4,363.8,33.8,254.4,139.5,446.8,415.1,128.8,407.4,441.6,129.5,82.6,73,150.4,303.9,427.1,62.7,155.4,242.1,226.7,151.3,39,119.8,13.8,336.7,184.3,241,351.7,276.1,56,372,168,194,394.3,82.8,108.5,172.9,30.2,488.8,369.7,156.7,219.4,128.3,184.5,150.9,165.6,146.2,208.3,188.7,221.7,251.5,149.1,206.2,67.4,268.8,218.1,185.3,89.7
"NormanCounty",192,248.8,73.6,116.9,203.6,140.9,307.6,262.2,229.1,259.5,138.1,180.3,258.9,35.1,74.3,356.1,277.9,169.8,282.4,343,125.9,382.2,380.6,352.2,321.6,107.1,253.4,427.9,96,238.3,185.2,300,243.4,185,111.8,183.4,177.5,308.8,188.3,307.9,251.5,229.7,243.3,37.3,94.3,317.2,207.3,209.5,165.2,362.4,257.9,287.8,336.7,15.2,349,110.9,80.9,243.7,283.6,40.8,147.9,264,63,252.7,221.4,301.1,314,142.2,229.4,276.8,222.6,266.6,184.1,325.5,136.7,162.9,140.9,115.3,351.7,121.8,340.4,276.8,285.1,76.1,389.1,230,207.5
"OlmstedCounty",217.9,108.4,303.7,335.2,170.6,264.7,92.1,132.1,206.4,110.7,271.5,207.3,128.6,321.2,336.3,347.7,175.9,231.6,72.2,21.9,230.9,93.7,33.2,63.6,41.3,260.1,96.3,80.4,286.4,138.2,285.2,159.4,158.2,182.5,487.5,363.5,236.8,300.5,414,88.2,218.8,194,133.7,338,417.1,122.2,155,165.7,194.1,35.4,206.5,104.5,184.3,349,13.2,278.9,385.8,169.2,236.6,388.1,229.1,84.8,372.6,159.9,168.1,64.7,210.8,438.6,262.8,91.2,143.1,117.6,178.6,43.8,254.2,223.4,223.8,280.3,37.2,261.4,66.7,94.2,127.2,291.6,39.6,130.1,215.4
"OtterTailCounty",130.5,178.6,56,156.1,133.5,115.8,237.5,192.1,175.9,189.4,123,125.2,188.8,83.1,127.3,316.9,207.8,100.8,212.3,272.9,55.8,312.1,310.5,282,251.4,54.4,183.2,357.7,101.1,168.2,187.3,229.9,173.3,114.9,201.1,222,130.8,269.7,248.5,237.7,175.9,175.7,173.2,90.3,169.4,247.1,137.2,140.5,96.3,292.2,203.9,217.6,241,110.9,278.9,24.3,138.1,174.7,207.2,128.9,77.7,193.9,124.9,182.6,151.2,230.9,230.6,197.5,231.6,206.6,152.4,196.4,113.9,255.4,84,107.8,64.5,90.1,281.5,61.5,270.2,206.7,215,53.5,319,159.8,153.5
"PenningtonCounty",208.1,278.4,101.5,88.9,226.3,215.6,347.3,308.9,230.7,296.3,154.2,236.9,291,113.2,63.7,357.7,334.6,198.5,319.2,379.8,175.6,419,417.4,389,358.4,163.8,290.2,464.6,124.6,270.4,174.6,356.7,258.9,241.7,66.8,152.9,240.2,317.5,121.5,344.7,285.3,286.4,283,62.4,35,363.9,254,241.6,193.8,399.1,314.6,327.4,351.7,80.9,385.8,138.1,12.8,265.1,359,41.7,204.6,300.8,19.8,309.4,278.1,337.9,389.4,65.1,218.8,313.6,252.2,306.3,230.8,362.3,193.4,219.6,169.5,189.9,388.5,146.6,377.2,313.6,331.8,155.6,425.9,266.8,264.2
"PineCounty",66.4,83.7,190.1,201.6,85.6,213.8,182.4,204.4,44.5,127.7,137.3,180.3,54.6,215.9,202.6,185.9,239.2,99.6,105.5,158.1,156.8,216.7,200.8,186.7,141.8,185.9,98.5,248.1,167.1,55.9,123.4,253.9,34,140.3,328.1,201.6,207.7,138.6,252.1,155.3,240.5,215.2,155.3,219.8,296.3,226.6,129.3,61,99.8,184.6,242.6,173.1,276.1,243.7,169.2,174.7,265.1,19.5,253.5,255.9,154.9,86.5,251.8,221,189.8,135.6,302.6,302.8,100.9,120.6,96.2,162.7,104.5,160,180,170.9,134.7,206.2,171.9,147.8,174.9,96.7,211.5,217.5,209.3,110.3,201.3
"PipestoneCounty",278.2,205.6,235.9,323.1,182.2,112,129.4,93.6,290.6,159.4,281.4,97.1,243.5,249.9,301.3,432,71.5,248.5,190,195.1,166,145.3,243,176.4,212.1,158.9,184.7,290.9,268,216.9,332.3,86.2,222,113.3,393.6,388.9,78.7,384.7,481.7,145.1,32.5,41,148.4,268.8,374,115,137.6,209.2,203.9,203.6,28,124.7,56,283.6,236.6,207.2,359,253.5,11.1,318.9,141,205.6,341.1,74.4,102.2,176.8,29.3,435.7,347,168.3,197.9,126.6,158.3,203.2,130.6,118.5,182,138.6,234.9,225.2,161.4,217.7,92.3,215.7,270.5,180.6,62.7
"PolkCounty",198.9,269.3,92.3,97.1,217.1,180,346.7,301.3,221.5,298.5,145,219.3,281.8,74.1,54.5,348.5,316.9,189.3,321.4,382,164.9,421.2,419.7,391.2,360.6,146.1,292.4,466.9,115.4,261.2,165.4,339,249.7,224,87.5,163.6,216.6,308.3,149.1,346.9,286.9,268.7,282.3,53.3,62.6,356.3,246.3,232.5,184.6,401.4,296.9,326.8,372,40.8,388.1,128.9,41.7,255.9,318.9,23,186.9,303,23.8,291.7,260.4,340.1,349.3,103,209.6,315.8,243.1,305.6,223.1,364.5,175.7,201.9,160.3,154.3,390.7,137.4,379.4,315.9,324.2,115.1,428.1,269,246.5
"PopeCounty",157.2,128.8,123.8,181.7,83.7,63.6,165,128.2,192.1,125.6,147.7,52.3,139,120.1,159.9,333.5,145.6,127.6,162.5,223.1,29.8,205.6,260.7,232.3,201.7,47.3,133.5,307.9,126.7,118.4,211.4,167.7,123.5,52.7,286.3,247.6,72.7,286.2,274.1,187.9,117.8,102.7,100.7,156.7,235.8,183.2,73.3,110.7,83,242.4,130.9,145.1,168,147.9,229.1,77.7,204.6,154.9,141,186.9,13.8,144.1,191.3,120.4,89.1,181.1,168.3,264,248.5,156.9,102.6,123.9,64.2,205.6,29.8,34.9,62.6,64.2,231.8,83.9,220.5,156.9,151.1,90.5,269.2,92.3,80.5
"RamseyCounty",135.1,25.7,218.7,250.2,85.6,202.9,100.3,125.1,123.6,45.3,186.5,139.1,45.8,236.2,251.2,265,157.1,143.7,21.1,73.7,145.9,132.3,116.4,102.3,57.4,175,17,163.6,201.4,55.5,202.5,171.8,75.4,105.3,402.4,280.7,168.5,217.8,331.3,70.8,192.6,167.3,72.9,253,332,160.8,77.9,77.8,109,100.2,194.3,91,194,264,84.8,193.9,300.8,86.5,205.6,303,144.1,6.7,287.6,142.4,107.3,51.1,220.5,353.6,180.1,36.1,58,82.6,93.6,75.6,169.1,156.7,138.8,195.3,87.4,176.4,90.4,21,129.4,206.6,124.9,52.1,154.6
"RedLakeCounty",194.8,265.2,88.3,93.1,213.1,197.7,334.1,295.7,217.4,283.1,141,223.7,277.8,95.3,50.4,344.5,321.4,185.3,306,366.6,162.4,405.8,404.2,375.8,345.2,150.6,277,451.4,111.4,257.2,161.4,343.5,245.7,228.5,82.8,159.6,227,304.3,137.5,331.4,272.1,273.2,269.8,49.2,51,350.7,240.8,228.4,180.6,385.9,301.4,314.2,394.3,63,372.6,124.9,19.8,251.8,341.1,23.8,191.3,287.6,10.7,296.2,264.9,324.6,371.5,81.7,205.6,300.3,239,293,217.5,349.1,180.2,206.3,156.3,172,375.3,133.4,364,300.4,318.6,132.8,412.7,253.5,251
"RedwoodCounty",232.7,142.4,228.7,277.6,136.8,121.7,78.5,37,258.1,96.3,235.9,79,180.4,224.9,255.8,399.5,38.5,203,126.9,138.3,134.6,117.2,193.1,135,149.9,150.8,121.5,240.3,222.5,179.6,286.8,60.6,176.5,67.8,391.1,343.4,88.4,352.3,370,88.4,61.5,36.1,85.6,261.6,340.6,86.9,90.5,163.8,158.4,162.2,63.5,68,82.8,252.7,159.9,182.6,309.4,221,74.4,291.7,120.4,142.4,296.2,15.3,39,113.9,101.7,368.8,314.6,105.1,138.6,63.4,112.8,120.8,124.6,102.6,136.6,148.3,174.9,179.8,104.5,154.6,59.9,195.3,201.6,120.4,52.5
"RenvilleCounty",201.4,111.2,197.4,246.3,105.4,103.8,91.6,49.6,226.9,65,204.6,51.9,149.1,193.6,224.5,368.3,64.2,171.7,100.1,160.7,103.3,133.2,199.7,144.9,140.7,119.5,90.3,247,191.2,148.3,255.5,86.3,145.2,36.5,359.8,312.1,75.9,321,338.6,89.8,89.2,63.9,50.4,230.3,309.3,104.6,52.7,132.4,127.1,172.1,91.3,71.7,108.5,221.4,168.1,151.2,278.1,189.8,102.2,260.4,89.1,107.3,264.9,39,16.2,118.8,129.4,337.5,283.3,83.8,107.3,52,81.5,143.2,93.3,71.3,105.2,128.7,170.8,148.4,114.3,119.5,72.5,164,208.2,89.2,54.5
"RiceCounty",185.3,71.2,255.7,287.2,122.6,215.3,52.1,86.1,172.7,62.7,223.6,157.9,94.9,273.3,288.3,314.1,114.9,183.7,38.2,43.1,182.9,82.3,97.9,52.3,45.4,212.1,48.3,145.1,238.4,91.8,239.5,148,124.5,134.5,439.5,316.5,187.4,266.8,367,28.8,173.2,147.9,84.3,290,369.1,110.8,107,117.7,146.1,62.4,152.1,52,172.9,301.1,64.7,230.9,337.9,135.6,176.8,340.1,181.1,51.1,324.6,113.9,118.8,11.7,199.4,390.6,229.1,34.8,95.1,63.2,130.6,25.6,206.2,175.4,175.8,232.3,66.3,213.4,40.5,63.3,87.2,243.7,106.4,82.1,166
"RockCounty",305.5,227.7,259.3,350.4,209.5,135.4,131,117,339.8,186.6,308.7,124.4,262,280.2,384.5,481.1,76.9,275.8,205,199.1,193.3,119.6,217.2,150.7,247.7,182.4,207.6,265.1,295.3,264.9,359.6,60.4,249.3,140.6,424,416.2,102.1,433.9,512,156,55.9,68.3,177,347.5,404.3,89.2,164.9,236.5,231.2,177.8,54,146.4,30.2,314,210.8,230.6,389.4,302.6,29.3,349.3,168.3,220.5,371.5,101.7,129.4,199.4,11.3,466,396.2,183.2,225.1,154.8,185.6,177.5,154,141.9,209.3,162.1,248.3,252.5,175.6,232.7,93.9,246,244.7,211.8,90
"RoseauCounty",247.9,331.2,160.9,115.7,279.1,276.9,400.1,368.3,268.4,349.1,194.1,296.4,338.7,174.5,112.2,383.9,394,238.4,372,432.6,235,471.8,470.2,441.8,411.2,223.2,343,517.5,164.5,318.1,196.3,416.1,298.8,301.1,70.8,135.7,299.6,319.3,56.2,397.5,403.6,345.8,335.8,121.8,73.8,421.8,313.4,281.5,246.6,452,374,380.2,488.8,142.2,438.6,197.5,65.1,302.8,435.7,103,264,353.6,81.7,368.8,337.5,390.6,466,21.1,244.8,366.4,305,359.1,290.2,415.1,252.8,279,228.9,251.2,441.3,195.1,430,366.4,391.2,212,478.7,319.5,323.6
"StLouisCounty",102.7,177.3,190.4,155.3,179.2,307.3,276,298,62.5,221.3,120.4,273.9,148.2,226,156.4,172.7,332.8,139.8,199.1,251.7,250.3,310.3,294.4,280.3,235.4,279.5,192.1,341.6,146.6,149.5,77.1,347.5,127.6,233.9,281.9,122.1,301.3,121.3,194.1,248.8,334.1,308.8,248.9,193,250.1,320.2,222.9,154.6,175.9,278.2,336.1,266.7,369.7,229.4,262.8,231.6,218.8,100.9,347,209.6,248.5,180.1,205.6,314.6,283.3,229.1,396.2,244.8,42.6,214.1,189.8,256.2,198,253.6,273.6,264.4,221.8,299.7,265.4,183.5,268.4,190.3,305.1,255.1,302.9,203.8,294.9
"ScottCounty",161.1,52.5,231.4,263,98.3,180.3,63,87.8,157.7,26.3,199.3,122.9,79.9,249,264,299.1,119.8,159.4,23.2,76.8,158.7,103.8,122.8,86,63.8,187.8,28.5,170.1,214.1,76.4,215.2,134.5,105.8,106.5,415.2,292.2,152.4,251.8,342.7,36.2,155.3,130,49.3,265.7,344.8,107.2,78,93.4,121.8,96.2,157,53.8,156.7,276.8,91.2,206.6,313.6,120.6,168.3,315.8,156.9,36.1,300.3,105.1,83.8,34.8,183.2,366.4,214.1,9.9,70.8,45.3,106.4,59.3,164.3,142.3,151.5,208.1,93.9,189.1,56.2,48.3,92.1,219.4,131.3,57.9,131
"SherburneCounty",119.6,38.5,170.1,201.6,36.1,161.4,125.8,122,133.4,53.5,138,124.7,58.9,194.8,202.7,274.8,159.2,98.8,76.4,137.1,104.4,176.2,174.7,146.2,115.6,133.6,47.4,221.9,152.8,38.3,173.8,197.2,64.8,84.7,361,246.7,152.1,227.5,294,101.9,184.9,159.6,72.9,204.4,283.5,169.9,61.1,52,60.5,156.4,187,96.8,219.4,222.6,143.1,152.4,252.2,96.2,197.9,243.1,102.6,58,239,138.6,107.3,95.1,225.1,305,189.8,70.8,10.9,80.2,52.1,119.6,127.7,115.2,90.2,153.8,145.7,127.8,134.4,70.9,154.9,165.1,183.1,24,145.7
"SibleyCounty",192.6,84,224.1,255.6,92.8,148.5,41.7,46.8,199.8,37.9,192,96.6,122,238.8,256.7,341.2,84.1,159.1,67.1,98.3,148.5,82.3,153.1,95.1,90.2,155.8,63.2,200.3,206.8,121.2,246.7,106.1,137.3,81.2,405,306.9,120.6,293.9,348,39.9,113.6,88.3,24.9,258.4,337.5,78.8,53.6,124.9,114.5,122.2,113.2,21.8,128.3,266.6,117.6,196.4,306.3,162.7,126.6,305.6,123.9,82.6,293,63.4,52,63.2,154.8,359.1,256.2,45.3,80.2,12.6,96.2,80.8,138,115.9,142.7,173.4,120.3,181.8,64.5,94.8,63.7,209.2,161.6,62,99.2
"StearnsCounty",129.1,78.3,148.6,179.1,33.2,123,137.2,102,141.6,89.1,132.4,85.1,88.5,156.3,179.5,283,138,99.5,112,172.6,66,211.8,210.2,181.8,151.2,95.1,83,257.5,130.2,67.9,183.3,160.1,73,45.1,322.5,247.3,112.5,235.7,271.4,137.5,145.3,120,72.9,182.9,262,158.9,33.3,60.2,54.9,191.9,147.4,117.3,184.5,184.1,178.6,113.9,230.8,104.5,158.3,223.1,64.2,93.6,217.5,112.8,81.5,130.6,185.6,290.2,198,106.4,52.1,96.2,19.2,155.1,89.2,75.7,60.2,115.4,181.3,103.4,170,106.4,124.9,126.7,218.7,59.5,106.1
"SteeleCounty",209.8,95.7,280.2,311.7,147.1,223.5,53,93,197.1,87.2,248,182.3,119.4,297.7,312.7,338.5,115.8,208.1,62.7,22.2,207.4,60.3,77,30.3,59.2,236.6,72.8,124.2,262.9,116.3,263.9,126,148.9,159,464,341,195.6,291.3,391.5,49.1,179.6,154.8,108.8,314.5,393.5,88.8,131.5,142.2,170.5,39.2,173.2,65.4,150.9,325.5,43.8,255.4,362.3,160,203.2,364.5,205.6,75.6,349.1,120.8,143.2,25.6,177.5,415.1,253.6,59.3,119.6,80.8,155.1,10.7,230.6,199.9,200.3,256.8,76.4,237.9,27.6,87.8,88.1,268.1,85.5,106.6,171.2
"StevensCounty",183.3,153.9,112.7,206.6,108.7,35.1,177.6,135.7,217.1,145.5,172.5,53.1,164,108.9,182.6,358.5,149.8,153.6,187.5,248.1,51.2,219.2,285.8,257.3,226.7,35.7,158.5,333,151.5,143.4,237.4,171.9,148.5,62.7,275.1,272.4,54.1,311.2,298.9,175.8,99.3,100.3,116.6,145.6,224.6,190.7,91.6,135.8,109,267.5,128.5,157.7,165.6,136.7,254.2,84,193.4,180,130.6,175.7,29.8,169.1,180.2,124.6,93.3,206.2,154,252.8,273.6,164.3,127.7,138,89.2,230.6,12.3,35.7,88.7,39,256.8,108.8,200.4,182,158.6,71.5,294.2,117.4,78.1
