"County","AdamsCounty","AllenCounty","AshlandCounty","AshtabulaCounty","AthensCounty","AuglaizeCounty","BelmontCounty","BrownCounty","ButlerCounty","CarrollCounty","ChampaignCounty","ClarkCounty","ClermontCounty","ClintonCounty","ColumbianaCounty","CoshoctonCounty","CrawfordCounty","CuyahogaCounty","DarkeCounty","DefianceCounty","DelawareCounty","ErieCounty","FairfieldCounty","FayetteCounty","FranklinCounty","FultonCounty","GalliaCounty","GeaugaCounty","GreeneCounty","GuernseyCounty","HamiltonCounty","HancockCounty","HardinCounty","HarrisonCounty","HenryCounty","HighlandCounty","HockingCounty","HolmesCounty","HuronCounty","JacksonCounty","JeffersonCounty","KnoxCounty","LakeCounty","LawrenceCounty","LickingCounty","LoganCounty","LorainCounty","LucasCounty","MadisonCounty","MahoningCounty","MarionCounty","MedinaCounty","MeigsCounty","MercerCounty","MiamiCounty","MonroeCounty","MontgomeryCounty","MorganCounty","MorrowCounty","MuskingumCounty","NobleCounty","OttawaCounty","PauldingCounty","PerryCounty","PickawayCounty","PikeCounty","PortageCounty","PrebleCounty","PutnamCounty","RichlandCounty","RossCounty","SanduskyCounty","SciotoCounty","SenecaCounty","ShelbyCounty","StarkCounty","SummitCounty","TrumbullCounty","TuscarawasCounty","UnionCounty","VanWertCounty","VintonCounty","WarrenCounty","WashingtonCounty","WayneCounty","WilliamsCounty","WoodCounty","WyandotCounty"
"HockingCounty",97.6,146.1,103.3,226.1,28.8,142.9,112.7,128.7,141.6,138.3,96.2,102.9,135.7,91.7,163.6,79.8,118,167.5,151.1,203,73.5,159.8,24,67.7,49.7,213,63.9,191,113,76.3,144.7,146,116.5,117.5,192.8,92.1,10.6,99.4,136.2,41.3,130.8,68.6,192.7,84.6,46.3,110.2,149.4,195.9,72.9,181.7,97,137.6,52,162.6,131.2,109.3,123.8,50.1,92.3,49.6,79.7,175.6,194,29.7,45.3,67.3,167.1,146.9,173.4,95.5,58.3,158.3,70.5,139.6,127.7,136.7,155.9,193.9,108.6,84.8,176.1,21.9,124.3,68.7,113.8,226.6,172.9,120.8
"HolmesCounty",183.2,134,32.4,131.3,109.3,152.9,90.8,184.4,181.3,58.8,125.4,134.2,193.7,147,75.4,25.5,64.1,72.8,182.5,168.7,75.9,83.2,85.4,123.9,83,154.1,157.9,99.6,144.4,63.1,184.4,111.8,109.5,57.4,158.5,150.8,99.4,10.6,65.4,142.7,79.3,37.9,97.9,186.1,62.8,121,66.9,137.5,108.7,87.2,80.5,42.5,132.4,172.6,162.6,101.5,155.1,90.4,72.5,59.5,87.2,104.5,173.4,86.9,109.1,148.9,74.1,178.3,139.2,44.7,132.6,95.8,178.7,96,165.2,42.1,53.6,99.6,31.8,95.7,158.8,123.3,164.1,115.2,23,182.6,127.2,86.5
"HuronCounty",209.9,101.3,33.4,130.6,161.1,119.5,147,210.4,184.8,111.2,114.2,127.1,219.7,173,121.9,89.9,46.8,70.6,165.6,112.3,92.7,21.7,122.3,149.9,106.8,94,209,101.7,141.4,122,210.5,66.1,88.1,113.6,88.5,176.8,136.2,65.4,11.4,186.4,135.5,73.6,94.5,229.7,99.6,107.7,36.7,77.4,114.4,127.2,59.7,54.2,184.3,139.2,149.9,157.8,150.8,150.6,63.5,127.5,146.1,44.4,128.9,123.7,132.7,175.6,93.2,173.9,91.7,34.1,159.4,35.7,205.4,43.1,131.8,83.9,69.6,120.5,88.1,85.2,126.2,160.1,190.1,174.2,57,122.5,67.1,59
"JacksonCounty",60.1,169.4,158.8,276.2,43.2,166.3,159.4,91.2,132.4,185,119.6,106.2,98.2,86.3,210.3,123.2,147.3,217.7,154.5,234.5,100.7,187.1,67.4,66.5,81,230.9,28.2,244.5,95.4,123,126.1,163.9,139.8,164.2,210.6,72.4,41.3,142.7,186.4,10.6,177.5,112,242.8,43.5,89.6,133.5,199.6,213.7,87.9,228.4,124.3,187.8,53.2,185.9,134.6,131.1,112.6,77.3,121.6,96.3,107,202.8,217.4,68.7,56.6,29.8,213.8,134.5,191.9,145.7,38.8,185.5,33,166.9,154,183.3,204.2,240.5,155.2,108.2,199.5,21.3,113.2,85.9,178.1,244.4,190.8,148.1
"JeffersonCounty",220,206.6,104.9,121.3,136.1,232.2,47.6,237.9,234.9,33.4,184.4,191.1,247.3,200.5,45.5,73.7,136.6,113.1,239.4,241.3,160.2,158.9,128.1,177.5,140.9,224.2,182.7,120.4,201.2,59,238,184.4,182.1,22.6,218.8,204.4,130.8,79.3,135.5,177.5,10.4,107.2,139.2,220.8,119.2,199.5,130.3,207.7,165.6,67.7,153.1,101.7,152.6,251.9,219.4,74.8,212,110,145,83,83,174.7,245.9,111.5,158.9,185.8,87.5,235.2,211.7,117.2,169.5,165.9,215.5,163.8,215.9,61.9,81.1,81.4,50.6,174.1,231.4,154.8,217.7,111.1,88.5,252.7,197.3,159.1
"KnoxCounty",152.4,103.2,40.7,163.4,93.5,116.1,114.3,153.6,160.1,97.7,84.7,105.2,162.9,116.2,110.8,33.6,51.3,104.9,131,148.1,38.3,91,54.7,93.1,52.4,158.1,134.6,131.7,115.3,73.8,153.7,91.1,73.6,85.2,137.9,120,68.6,37.9,73.6,112,107.2,11.8,130.1,155.3,32,83.4,86.8,141,79.7,122.5,44.5,75,116.7,135.8,133.5,125.1,126.1,83,26.8,59.9,97.8,112.3,152.7,56.1,78.3,118.1,111.9,149.3,118.5,32.9,101.9,103.6,147.9,84.7,111,77.5,91.4,142.2,68,58,138.2,92.6,133.3,125.9,51.2,171.7,118,65.9
"LakeCounty",266.4,192.7,90.8,41,209.8,212.9,157.6,266.9,270.9,98.1,195.5,216,276.2,229.5,94.9,130.5,122.8,29.1,241.9,189.2,149.1,84.1,178.7,206.4,163.3,162.9,256.5,22.5,226.1,132.7,266.9,149.6,168.2,124.3,163.4,233.3,192.7,97.9,94.5,242.8,139.2,130.1,16.1,286.2,156.1,194.2,55.5,146.3,190.5,75.1,139.2,59.7,226.3,232.6,244.4,168.4,236.9,183.8,131.2,156.7,156.8,110.9,205.9,185.3,189.2,232.1,43.9,260.1,183.7,103.4,215.8,110.6,261.9,117.9,225.2,70.8,50,58.4,98.7,168.9,217.5,216.6,246.6,184.8,76.8,191.4,146.3,145.3
"LawrenceCounty",75.9,212.8,202.1,319.6,86.6,209.6,202.7,99.7,154.4,228.3,162.9,149.6,120.1,118.1,253.6,166.6,190.6,261,197.8,277.9,144.1,230.4,110.8,109.8,124.3,274.2,53.3,287.9,138.8,166.3,148.1,207.2,183.2,207.6,254,94.3,84.6,186.1,229.7,43.5,220.8,155.3,286.2,11,133,176.9,242.9,257.1,131.2,271.7,167.6,231.1,78.4,229.3,177.9,174,155.9,120.7,164.9,139.6,150.3,246.2,260.7,112.1,99.9,62.8,257.1,180.8,235.2,189,82.2,228.9,35.6,210.2,197.4,226.7,247.6,283.9,198.6,151.5,242.9,64.7,153.1,129.3,221.5,287.8,234.1,191.4
"LickingCounty",118.3,117,66.8,189.5,71.2,113.8,101,133.2,130.1,105.7,76.1,84.9,142.5,95.8,131,43.3,72.6,131,133.2,165,37.4,117.1,26.3,72.7,33.7,175.1,112.3,157.8,95,64.7,133.2,108.1,87.4,93.2,154.8,99.6,46.3,62.8,99.6,89.6,119.2,32,156.1,133,13.5,81.1,112.9,157.9,59.4,149.1,59.1,101.1,94.3,133.5,113.3,111.8,105.8,61,47,38,84.5,137.6,165,34.2,54.2,84,134.5,129,135.4,59,67.7,120.3,113.8,101.6,107.6,104,117.5,161.2,75.9,55.8,147.1,70.2,112.9,112.6,77.2,188.6,134.9,82.8
"LoganCounty",157.1,44.9,110.2,227.6,135.1,33.8,181.4,117.9,96.1,180.2,21.6,38.4,123.7,80.5,192.6,122.9,73.7,169.1,70.4,102.1,54.3,111.6,89.4,77.1,61.2,116.2,156.2,195.9,52.8,145,106,49.2,25.1,172.8,91.1,103.1,110.2,121,107.7,133.5,199.5,83.4,194.2,176.9,81.1,11.1,134.4,99,50.7,203.3,53.2,139.2,158.2,53.5,54.7,192.1,62.2,141.4,69.7,118.3,164.9,106.2,85,114.5,83,122.8,176.1,85.3,67.2,97.1,106.5,88.9,152.6,70.3,32.1,159.3,155.6,206.3,155.5,28.6,67.1,133,82.6,174.9,129.5,116.5,76.1,48.9
"LorainCounty",223.1,145.2,44.2,91.6,174.4,163.4,151.3,223.6,227.7,98.6,152.3,172.8,232.9,186.2,95.1,91.2,79.5,31.6,209.5,139.7,105.9,33.3,135.5,163.2,120,113.3,222.2,62.7,182.9,126.3,223.7,100.1,114.8,117.9,113.8,190.1,149.4,66.9,36.7,199.6,130.3,86.8,55.5,242.9,112.9,134.4,15.6,96.8,147.3,88.2,89.6,32.3,197.5,183.1,193.8,162.1,193.7,156.1,87.9,125.2,150.4,60.2,156.3,136.9,145.9,188.9,54.2,216.9,134.1,60.1,172.6,61,218.6,63.3,175.6,71.3,53.6,81.6,92.4,125.6,170.1,173.4,203.4,178.4,50.7,141.8,96.7,85.7
"LucasCounty",237.3,84,105.6,182.4,220.8,102.2,219.2,238.2,189,189.4,116.1,132.9,216.6,190.6,185.9,162,100.1,122.3,148.3,59.3,126.8,65.7,175.1,163.3,145.6,30.3,236.4,153.5,168.4,194.2,198.9,51.4,79.4,185.8,42.5,213.2,195.9,137.5,77.4,213.7,207.7,141,146.3,257.1,157.9,99,96.8,12.2,137.1,179,99.9,116.5,243.9,121.8,132.6,229.9,155.6,217.6,116.7,194.5,218.3,39.3,75.9,190.7,163.2,203,145,175.7,72.9,108.1,186.7,44,232.8,56.7,114.4,162.1,144.4,172.3,160.3,106.2,108.8,219.8,184.3,246.3,129.1,58.8,23.6,75.3
"MadisonCounty",99.5,96.1,106.5,223.9,97.9,85.1,147.5,88.1,89.5,173.1,31.9,34.6,97.4,50.7,188.9,101.2,80.4,165.4,82.9,153.3,46.2,121.4,52.2,33.3,28.4,154.3,110.5,192.2,44.8,111.1,88.1,87.3,63.2,152.3,134,66.4,72.9,108.7,114.4,87.9,165.6,79.7,190.5,131.2,59.4,50.7,147.3,137.1,11.1,199.6,56.2,135.5,121,104.7,63,158.3,55.6,107.5,69.3,84.4,131,137.1,136.2,80.6,37.4,77.2,172.4,78.7,115.3,93.4,57.6,119.8,106.9,101.2,63.3,155.6,151.9,202.6,143.3,31.6,118.3,87.4,61.1,137.7,125.8,167.8,114.2,82.4
"MahoningCounty",275.4,201.8,99.8,60.4,186.9,220.7,95.7,275.9,280,47.6,204.6,225.1,285.2,238.5,23.4,107.7,131.8,70.4,250.9,221.9,158.2,116.7,179,215.4,172.3,195.5,233.6,56.3,235.2,109.8,276,179.5,177.3,86.4,196.1,242.3,181.7,87.2,127.2,228.4,67.7,122.5,75.1,271.7,149.1,203.3,88.2,179,199.6,10.6,148.2,73.7,203.5,240.4,253.4,125.7,246,160.9,140.2,133.9,133.9,143.6,238.6,162.4,198.2,241.1,37.3,269.2,206.9,112.4,224.9,143.2,270.9,145.5,233,46.8,51.6,20.5,75.9,177.9,226.6,205.7,255.6,162,80.2,224,178.9,154.3
"MarionCounty",147.8,59.3,52.8,172.6,122,74,158.7,137.2,125.1,125.2,54.5,67.4,152.7,99.7,137.6,77.9,25.8,114.1,100.9,107,28,66.7,76.3,82.4,46.7,117,146.9,140.9,81.7,122.4,135,50.1,29.7,131.1,96.8,114.8,97,80.5,59.7,124.3,153.1,44.5,139.2,167.6,59.1,53.2,89.6,99.9,56.2,148.2,10.3,84.1,145.1,93.7,85.2,169.5,91.1,118.7,20.3,95.6,142.2,79.6,111.7,91.9,70.6,113.6,121.1,114.3,77.4,37.1,97.3,62.3,143.4,43.6,86.3,104.3,100.6,151.3,105.6,25.6,97.1,121,111.6,161.8,74.5,130.6,76.9,24.8
"MedinaCounty",211.3,137.6,35.7,93.1,150.5,156.6,120.6,211.8,215.9,70.1,140.5,161,221.1,174.4,78.4,66.8,67.7,34.6,186.8,151.4,94.1,62,123.7,151.4,108.2,133.1,210.4,61.4,171.1,95.6,211.9,115.4,113.2,87.2,127.6,178.2,137.6,42.5,54.2,187.8,101.7,75,59.7,231.1,101.1,139.2,32.3,116.5,135.5,73.7,84.1,10.6,189.3,176.3,189.3,131.4,181.9,131.6,76.1,100.7,119.7,83.5,177,125.1,134.1,177.1,44.5,205.1,142.8,48.3,160.8,74.8,206.8,79.7,168.9,42.8,26,71.8,61.7,113.8,162.5,161.6,191.6,147.8,26.2,161.6,106.2,90.2
"MeigsCounty",109.6,194.1,151.4,249.7,24.9,190.9,134.4,140.7,181.9,160.1,144.2,150.9,147.7,134,185.4,108.8,166.1,202.7,199.2,251,121.5,207.9,72.1,114.2,97.8,261.1,27,212.8,143.1,98.1,175.6,194.1,164.5,139.3,240.8,121.9,52,132.4,184.3,53.2,152.6,116.7,226.3,78.4,94.3,158.2,197.5,243.9,121,203.5,145.1,189.3,10.7,210.6,179.3,91.1,160.3,59,140.4,78,79.9,223.6,242.1,63,93.4,79.3,188.9,195,221.5,143.6,86.5,206.3,82.5,187.6,175.7,158.4,177.6,215.6,130.3,132.9,224.2,44.6,160.9,50.8,168.6,274.6,220.9,168.9
"MercerCounty",176.4,43.3,144.9,264.7,187.5,22.7,233.8,168.3,86.9,217.3,74,96.9,146.7,120.7,229.7,175.3,111.1,208.6,33.9,61.8,106.7,151.5,141.8,132.8,113.6,94.7,208.6,233,98.6,197.4,129,73.5,64.5,223.3,89.3,143.3,162.6,172.6,139.2,185.9,251.9,135.8,232.6,229.3,133.5,53.5,183.1,121.8,104.7,240.4,93.7,176.3,210.6,11.2,62.7,244.6,85.7,193.8,113.3,170.7,217.3,140.3,44.7,166.9,135.4,175.2,213.2,60.7,56.1,130.4,158.9,123,205,100.7,36.7,196.4,192.7,243.4,197.8,81,26.8,185.4,114.4,227.3,166.6,76.3,98.9,86.3
"MiamiCounty",115.5,54.1,160.3,277.8,156.2,43,201.3,107.4,58.3,226.9,33.7,36.1,85.9,59.8,242.8,155.1,121.9,219.3,23.9,111.3,100.1,162.2,110.5,72,82.3,117.3,157.3,246.1,37.7,165,68.2,84.3,75.3,206.2,100.2,82.5,131.2,162.6,149.9,134.6,219.4,133.5,244.4,177.9,113.3,54.7,193.8,132.6,63,253.4,85.2,189.3,179.3,62.7,10.4,212.1,24.8,161.3,123.2,138.2,184.8,151.1,94.2,134.5,93.3,123.9,226.3,45,76.3,147.3,104.3,133.8,153.6,111.4,21.3,209.5,205.8,256.5,197.2,60.5,76.3,134.1,53.6,196,179.7,125.7,109.6,97
"MonroeCounty",187.5,228,127.2,179.4,90.4,224.9,47,230.6,227.5,85.7,177.1,183.7,239.9,193.2,103.6,91.6,158.9,144.8,232,275.5,152.8,175.6,120.7,170.1,133.6,246.5,122.6,154.9,193.9,50.4,230.6,218.5,198.4,61.5,241,197,109.3,101.5,157.8,131.1,74.8,125.1,168.4,174,111.8,192.1,162.1,229.9,158.3,125.8,169.5,131.4,91.2,244.6,212.1,11,204.7,67,157.4,75.6,30.4,196.9,276,83.3,151.6,157.2,131,227.8,245.9,139.5,162.2,188.2,160.4,186.1,208.5,100.5,119.8,139.4,72.8,166.8,258.1,116.9,210.3,54.1,110.8,275,219.6,193.3
"MontgomeryCounty",93.7,77.1,152.9,270.3,148.7,66,193.9,85.6,36.5,219.5,43.3,28.6,64,38,235.3,147.6,116.8,211.8,44.7,134.3,92.7,157.8,103,51.7,74.8,140.3,135.2,238.6,17.5,157.5,46.4,107.2,82.8,198.7,123.2,60.6,123.8,155.1,150.8,112.6,212,126.1,236.9,155.9,105.8,62.2,193.7,155.6,55.6,246,91.1,181.9,160.3,85.7,24.8,204.7,11.1,153.9,115.7,130.8,177.4,174,117.1,127,80.4,101.8,218.8,22.5,99.3,139.8,82.3,156.8,131.6,134.4,44.3,202.1,198.3,249.1,189.8,66.5,99.2,112.1,31.8,188.6,172.3,148.7,132.6,120
"MorganCounty",133.7,177.3,121.7,207.1,35.9,174.1,91.9,164.8,176.8,117.5,126.3,133,171.8,142.4,142.8,66.8,132.3,160.1,181.2,224.7,102.1,168,57.3,97.1,82.8,234.7,84.5,170.2,143.1,55.5,179.9,167.7,147.7,96.7,214.5,121.3,50.1,90.4,150.6,77.3,110,83,183.8,120.7,61,141.4,156.1,217.6,107.5,160.9,118.7,131.6,59,193.8,161.3,67,153.9,10.6,106.6,35.9,37.4,189.4,225.2,27.3,74.7,103.4,146.3,177.1,195.1,109.9,87.5,180,106.6,161.3,157.8,115.9,135.1,173.1,87.8,116,207.3,63.1,159.5,48,112.2,248.3,194.6,142.5
"MorrowCounty",145.1,78.9,47.1,164.6,117.3,93.6,146.6,145.6,149.7,117.2,71,94.8,154.9,108.2,129.6,62.5,27,106.1,117.3,123.8,27.9,74.9,71.6,85.2,42,133.8,144.2,132.9,104.9,102.7,145.7,66.8,49.3,123.1,113.6,112.1,92.3,72.5,63.5,121.6,145,29.1,131.2,164.9,47,69.7,87.9,116.7,69.3,140.2,20.3,76.1,140.4,113.3,123.2,157.4,115.7,106.6,10.4,83.5,130.1,91.4,128.4,79.8,67.9,110.9,113.1,138.9,94.2,28,94.6,79.1,140.6,60.4,105.9,96.3,92.6,143.3,97.6,44.3,113.9,116.3,125.4,158.2,66.5,147.4,93.7,41.6
"MuskingumCounty",138.8,154.2,90.8,180.1,54.8,151,64.8,156.7,153.7,90.4,103.2,109.9,166,119.3,115.8,35.9,109.2,133.1,158.1,201.6,79,144.9,46.9,96.3,59.7,211.6,103.4,143.2,120,28.5,156.8,144.6,124.6,69.7,191.4,123.1,49.6,59.5,127.5,96.3,83,59.9,156.7,139.6,38,118.3,125.2,194.5,84.4,133.9,95.6,100.7,78,170.7,138.2,75.6,130.8,35.9,83.5,13.3,48.3,166.3,202.1,30.3,77.7,104.6,119.3,154,172,86.8,88.3,156.9,134.3,138.2,134.7,88.8,108,146,60.7,92.9,184.3,73.6,136.4,76.4,81.3,225.2,171.5,119.4
"NobleCounty",163.3,200.8,115.5,180.1,65.5,197.6,64.9,203.3,200.3,90.5,149.8,156.4,212.6,165.9,115.8,64.3,147.2,133.1,204.7,248.2,125.6,163.9,93.5,142.8,106.3,234.8,110.1,143.2,166.6,28.5,203.4,191.2,171.2,69.7,237.9,169.7,79.7,87.2,146.1,107,83,97.8,156.8,150.3,84.5,164.9,150.4,218.3,131,133.9,142.2,119.7,79.9,217.3,184.8,30.4,177.4,37.4,130.1,48.3,10.4,185.2,248.7,53.7,124.3,133,119.3,200.5,218.6,127.8,134.9,176.5,136.2,174.4,181.3,88.8,108.1,146.1,60.8,139.5,230.8,92.7,183,38.5,99.1,263.3,218.1,166
"OttawaCounty",226.4,102.5,72.6,147,200.5,120.6,186.1,226.9,207.5,154,123.2,140.1,235.1,189.5,150.5,129,70.3,86.9,166.8,89.3,106.5,27.3,154.8,166.4,125.3,63,225.5,118.1,154.4,161.2,217.4,57.3,86.6,152.8,72.5,193.3,175.6,104.5,44.4,202.8,174.7,112.3,110.9,246.2,137.6,106.2,60.2,39.3,137.1,143.6,79.6,83.5,223.6,140.3,151.1,196.9,174,189.4,91.4,166.3,185.2,12.8,106,162.5,149.2,192.1,109.6,194.2,91.3,75.1,175.8,18.3,221.9,36.2,132.9,126.7,109,136.9,127.2,105.1,127.3,199.5,202.8,213.3,96.1,91.4,46.3,57.5
"PauldingCounty",207.8,49.3,145.6,242,218.9,54.1,265.2,199.7,123.5,218.1,105.4,128.4,178.1,152.1,230.4,186.1,111.8,181.9,70.4,18.7,138.5,122.7,173.3,164.3,145,51.5,240,213.1,130,228.9,160.5,75,78.5,224,46.2,174.8,194,173.4,128.9,217.4,245.9,152.7,205.9,260.7,165,85,156.3,75.9,136.2,238.6,111.7,177,242.1,44.7,94.2,276,117.1,225.2,128.4,202.1,248.7,106,10.5,198.4,166.8,206.7,204.6,97.3,43.1,131.1,190.4,94.2,236.4,102.2,68.1,197.2,193.5,231.9,198.5,112.4,19.5,216.9,145.9,258.8,167.4,33.1,70,87
"PerryCounty",115.5,150.4,90.8,208.7,39.9,147.2,93.4,152.9,149.9,119,99.4,106.1,162.3,115.5,144.4,61.2,105.4,155.1,154.4,197.8,75.2,141.1,30.4,74.7,56,207.8,88.5,171.8,116.2,57.1,153,140.9,120.8,98.3,187.6,98.8,29.7,86.9,123.7,68.7,111.5,56.1,185.3,112.1,34.2,114.5,136.9,190.7,80.6,162.4,91.9,125.1,63,166.9,134.5,83.3,127,27.3,79.8,30.3,53.7,162.5,198.4,10.5,52.3,81.3,147.9,150.2,168.2,83.1,65,153.1,98,134.4,130.9,117.4,136.6,174.6,89.3,89.2,180.5,49.3,132.7,64.2,101.3,221.4,167.7,115.6
"PickawayCounty",80.1,118.9,105.1,222.6,70.3,115.7,140.8,91.6,98.3,166.4,62.1,64.9,93.6,54.1,191.7,96.8,93.6,164.1,113.2,184,47.1,133.4,32.8,30.2,27.3,180.3,79.3,190.9,63.3,104.4,101.4,113.3,89.3,145.6,160.1,58.7,45.3,109.1,132.7,56.6,158.9,78.3,189.2,99.9,54.2,83,145.9,163.2,37.4,198.2,70.6,134.1,93.4,135.4,93.3,151.6,80.4,74.7,67.9,77.7,124.3,149.2,166.8,52.3,11.6,45.9,171.1,109,141.3,92,26.3,131.9,75.7,113.2,93.6,154.3,150.6,201.3,136.7,57.6,148.9,56.1,81.1,110.1,124.5,193.9,140.2,94.4
"PikeCounty",34.5,158.7,148.1,265.5,69.3,155.5,167.6,65.6,106.9,193.2,108.8,95.5,72.6,75.6,218.6,123.6,136.5,207,143.8,223.8,90,176.4,61.8,55.8,70.3,220.2,54.2,233.8,84.7,131.3,100.6,153.2,129.1,172.5,199.9,46.8,67.3,148.9,175.6,29.8,185.8,118.1,232.1,62.8,84,122.8,188.9,203,77.2,241.1,113.6,177.1,79.3,175.2,123.9,157.1,101.8,103.4,110.9,104.6,133,192.1,206.7,81.3,45.9,10.8,214,123.8,181.1,135,24.5,174.8,31.8,156.1,143.3,191.6,193.5,244.2,163.5,97.5,188.8,47.4,102.5,112,167.4,233.7,180,137.3
"PortageCounty",248.2,174.6,72.7,67.2,172.4,193.5,120.2,248.8,252.8,53.4,177.4,197.9,258.1,211.4,42,93.1,104.6,35.9,223.8,187.9,131,82.8,164.4,188.3,145.1,161.6,219,25,208,95.3,248.8,152.4,150.1,86.8,162.1,215.2,167.1,74.1,93.2,213.8,87.5,111.9,43.9,257.1,134.5,176.1,54.2,145,172.4,37.3,121.1,44.5,188.9,213.2,226.3,131,218.8,146.3,113.1,119.3,119.3,109.6,204.6,147.9,171.1,214,11.6,242,179.7,85.2,197.7,109.3,243.8,116.6,205.8,32.2,17.9,31.9,61.3,150.8,199.4,191.1,228.5,147.4,53,190,144.9,127.1
"PrebleCounty",115.9,97.2,176.1,293.5,171.9,86.1,217,87.5,26.3,242.7,66.4,51.8,65.9,58.9,258.5,170.8,140,235,27.5,114.4,115.8,181,126.2,87.7,98,147.3,157.2,261.8,53.4,180.7,48.2,127.4,105.9,221.9,143.4,81.5,146.9,178.3,173.9,134.5,235.2,149.3,260.1,181,129,85.3,216.9,175.7,78.7,269.2,114.3,205.1,195,60.7,45,227.8,22.5,177.1,138.9,154,200.5,194.2,97.3,150.2,109,123.8,242,10.6,119.4,163,104.2,176.9,151.3,154.5,64.4,225.2,221.5,272.2,212.9,89.7,79.4,134,42.5,211.7,195.4,128.8,152.7,140.1
"PutnamCounty",190.1,23.2,111.4,219.8,198.3,46,235.1,182,132.9,183.9,87.7,110.7,160.4,134.4,196.2,151.9,77.6,159.7,81.9,38.4,104.3,102.5,152.6,146.5,123.1,49.8,214.5,190.8,112.3,198.7,142.8,28.9,52.4,189.8,32.7,157,173.4,139.2,91.7,191.9,211.7,118.5,183.7,235.2,135.4,67.3,134.1,72.9,115.3,206.9,77.4,142.8,221.5,56.1,76.4,245.9,99.4,195.1,94.2,172,218.6,91.3,43.1,168.2,141.3,181.1,179.7,119.6,11.3,96.9,164.9,74.1,210.9,53.2,58.3,163,159.2,209.7,164.3,84.4,31,197.4,128.2,238.2,133.2,57.3,49.9,52.8
"RichlandCounty",169,91.7,16.9,136.8,120.3,110.7,128.7,169.6,173.6,89.4,98.2,118.7,178.9,132.1,101.7,66.1,21.8,78.2,144.6,126.5,51.8,51.9,81.4,109.1,65.9,124.6,168.1,105,128.8,103.7,169.6,69.5,66.2,95.3,116.3,136,95.3,44.7,34.1,145.5,117.2,32.7,103.4,188.8,58.8,96.9,60.1,108.1,93.2,112.4,37.1,48.3,143.4,130.4,147.1,139.5,139.6,109.7,27.8,86.6,127.8,75.1,131.1,82.9,91.8,134.8,85.2,162.8,96.9,11.5,118.5,66.3,164.6,53.8,123,68.5,64.7,115.5,69.8,71.6,116.6,119.3,149.3,155.9,38.7,153.1,96.4,44.3
"RossCounty",50.9,142.4,131.8,249.2,66.7,139.3,151.4,72.9,100.1,177,82.3,75.9,74.9,56,202.3,107.3,120.3,190.7,124.2,207.5,73.7,160.1,45.5,36.2,54,203.9,61.5,217.5,65.1,115,103.2,136.9,112.8,156.2,183.6,34.3,58.3,132.6,159.4,38.8,169.5,101.9,215.8,82.2,67.7,106.5,172.6,186.7,57.6,224.9,97.3,160.8,86.5,158.9,104.3,162.2,82.3,87.5,94.6,88.3,134.9,175.8,190.4,65,26.3,24.5,197.7,104.2,164.9,118.7,13.5,158.5,54.3,139.9,123.7,175.3,177.2,227.9,147.2,81.2,172.5,38.3,82.9,109.4,151.1,217.4,163.8,121.1
"SanduskyCounty",209.1,85.2,63.9,146.7,183.2,103.4,177.4,209.6,190.2,141.6,106,122.8,217.8,172.2,150.2,120.3,58.3,86.6,149.5,77.6,89.2,29.4,137.5,149.1,108,60.5,208.2,117.8,137.2,152.5,200.1,40,69.3,144,53.8,176,158.3,95.8,35.7,185.5,165.9,103.6,110.6,228.9,120.3,88.9,61,44,119.8,143.2,62.3,74.8,206.3,123,133.8,188.2,156.8,180,79.1,156.9,176.5,18.3,94.2,153.1,131.9,174.8,109.3,176.9,74.1,66.3,158.5,10.5,204.6,19,115.6,114.3,108.7,136.6,118.5,87.8,110,182.2,185.5,204.6,87.4,89,32.4,40.3
"SciotoCounty",46.2,188.5,177.8,295.3,72.5,185.3,197.4,70,124.7,223,138.6,125.3,90.4,88.4,248.4,153.4,166.3,236.8,173.6,253.6,119.8,206.1,91.6,85.6,100,249.9,57.4,263.6,114.5,161.1,118.4,182.9,158.9,202.3,229.7,64.7,70.5,178.7,205.4,33,215.5,147.9,261.9,35.6,113.8,152.6,218.6,232.8,106.9,270.9,143.4,206.8,82.5,205,153.6,160.3,131.6,106.6,140.6,134.3,136.2,221.9,236.4,98,75.7,31.8,243.8,151.1,210.9,164.8,54.3,204.6,12.8,185.9,173.1,221.4,223.3,274,193.3,127.2,218.6,50.6,123.4,115.2,197.2,263.5,209.8,167.1
"SenecaCounty",190.4,62.8,61.7,154,164.5,81,175.3,190.9,167.9,139.4,87.3,104.2,195.4,153.5,150.2,118.1,43.8,93.9,127.1,88.6,70.5,40.5,118.8,130.4,89.3,73.8,189.5,125.1,118.5,150.3,177.8,27.6,50.6,141.9,64.8,157.3,139.6,96,43.1,166.9,163.8,84.7,117.9,210.2,101.6,70.3,63.3,56.7,101.2,145.5,43.6,79.7,187.6,100.7,111.4,186.1,134.4,161.3,60.4,138.2,174.4,36.2,102.2,134.4,113.2,156.1,116.6,154.5,53.2,53.8,139.9,19,185.9,12.1,93.3,112.2,97.8,143.9,116.4,69.1,87.7,163.6,163.1,202.5,85.3,102.3,43.4,21.6
