"County","AlbanyCounty","AlleganyCounty","BronxCounty","BroomeCounty","CattaraugusCounty","CayugaCounty","ChautauquaCounty","ChemungCounty","ChenangoCounty","ClintonCounty","ColumbiaCounty","CortlandCounty","DelawareCounty","DutchessCounty","ErieCounty","EssexCounty","FranklinCounty","FultonCounty","GeneseeCounty","GreeneCounty","HamiltonCounty","HerkimerCounty","JeffersonCounty","KingsCounty","LewisCounty","LivingstonCounty","MadisonCounty","MonroeCounty","MontgomeryCounty","NassauCounty","NewYorkCounty","NiagaraCounty","OneidaCounty","OnondagaCounty","OntarioCounty","OrangeCounty","OrleansCounty","OswegoCounty","OtsegoCounty","PutnamCounty","QueensCounty","RensselaerCounty","RichmondCounty","RocklandCounty","StLawrenceCounty","SaratogaCounty","SchenectadyCounty","SchoharieCounty","SchuylerCounty","SenecaCounty","SteubenCounty","SuffolkCounty","SullivanCounty","TiogaCounty","TompkinsCounty","UlsterCounty","WarrenCounty","WashingtonCounty","WayneCounty","WestchesterCounty","WyomingCounty","YatesCounty"
"HerkimerCounty",82.9,215.4,236.5,110.9,265.6,103.7,276,160.5,76.9,182.3,123.6,110.7,85.8,165.4,217.6,135.4,162.4,58.5,182.4,96.8,69.8,19.6,89.4,242.7,56.2,184.7,57.7,157.6,43.9,260.1,241,228.2,32.3,76.8,139.7,187.9,195.1,85.6,45.2,193.4,246.9,99.9,247.7,209,130.1,78.8,68.9,66.6,155.5,125,174.2,287.7,156.6,141,127.4,146.9,105.4,122,129.4,219.6,199.9,142.9
"JeffersonCounty",184.4,212.6,327.4,144.3,262.8,100.8,273.2,160.3,141.1,159.3,225.1,110.5,182.1,267,214.7,157.1,113.3,160.1,179.6,198.3,134.4,89.4,22.2,330.5,35.1,181.9,99.9,154.8,145.5,350.9,323.5,225.4,84.2,74.8,136.9,271.8,167.5,52.7,141.5,307.7,337.7,201.4,325.5,307.3,64,180.3,170.5,168.2,152.6,122.2,171.4,378.6,233.4,150.4,127.2,248.4,170.1,223.6,106.8,318,197,140.1
"KingsCounty",161.7,330.5,21.6,188.3,377.1,260.7,418.1,243.9,221.7,323.9,139.5,224.3,172.5,102.4,378.6,277.1,334.7,208.5,352.3,134.8,255.7,242.8,330.6,5.1,301.4,323.4,249.8,333.5,202.3,21.4,14.1,399.9,260.7,258.6,293.1,74.6,371,294.8,221.1,69.9,9.7,171.4,15.6,47.5,358.3,190.8,175.2,169.9,252.2,268.5,286.4,62.4,109,213.5,237.9,116.9,223,222.3,302.4,39.2,346.8,281.6
"LewisCounty",141.5,229.3,295.1,156.2,279.5,117.5,289.9,172.2,105.8,159.3,182.2,122.4,139.2,224.1,231.4,148.7,134.4,117.2,196.2,155.4,101.2,56.2,35.1,301.3,18.5,198.5,81.1,171.4,102.5,318.7,299.6,242.1,47.6,91.4,153.6,246.6,184.2,69.4,98.6,252,305.5,158.5,306.3,267.6,75.8,137.4,127.6,125.3,169.3,138.9,188,346.3,194.6,162.3,139.1,205.5,136.9,180.7,123.4,278.2,213.7,156.8
"LivingstonCounty",250.2,56.4,320.1,140.9,83.9,83.9,118.1,80.9,174.3,343.5,290.9,124.7,205.1,281,61.9,296.7,288.9,225.8,35.1,264.1,231,184.7,181.9,323.3,198.5,13,145.4,43.8,211.2,343.7,316.2,82.7,155.6,114.8,44,264.5,54.6,122.2,207.7,300.5,330.5,267.2,318.3,300.1,239.7,246.1,236.3,233.9,83.3,71,46.7,371.3,226.2,123.2,111.2,257.2,280.6,289.3,85.7,310.7,30.1,57.6
"MadisonCounty",107.8,176.1,243.6,85.3,226.3,50.1,236.7,101.3,46.2,224.2,148.5,51.5,95,170.3,178.3,177.4,194.1,96.7,143.1,113.9,111.7,57.7,99.9,249.7,81.1,145.4,13.2,118.3,84.5,267.1,248,188.9,38.8,32.5,100.4,180.4,155.8,64.1,61.4,198.2,253.9,124.8,254.7,216,157.7,119.3,97.4,83.8,98.7,73.7,140.3,294.7,142.1,91.4,68.2,151.7,153.8,162.6,89.3,226.6,160.5,103.6
"MonroeCounty",223.1,96.1,330.4,147.4,119.3,72.8,129.7,109.8,159.5,316.4,263.8,113.6,195.3,305.7,71.2,269.6,261.9,198.8,35.2,237,203.9,157.6,154.8,333.6,171.4,43.8,118.3,19,184.1,354,326.5,65.5,128.5,87.8,30.7,274.8,38.1,85.9,180.2,310.8,340.8,240.1,328.6,310.4,212.6,219,209.2,206.9,82,56.6,75.6,381.6,236.5,116.1,94.7,267.5,253.5,262.3,47.8,321,52.7,56.3
"MontgomeryCounty",42.4,242,196.1,119.1,292.2,130.2,302.6,179.5,104.4,163.4,83.2,137.3,91.2,125,244.1,116.5,165.6,17.2,208.9,57.9,70.5,43.9,145.5,202.2,102.5,211.2,84.5,184.1,10.4,219.6,200.5,254.8,61.8,103.3,166.3,147.5,221.7,115.1,62.4,152.9,206.4,59.4,207.2,168.5,176.5,38.3,28.5,35.7,182,151.6,200.7,247.3,149.2,149.1,154,106.4,72.8,81.6,155.9,179.1,226.4,169.5
"NassauCounty",179,350.8,25.3,208.6,397.4,281,438.4,264.2,239.3,341.1,143.6,244.6,189.7,101.3,398.9,294.3,351.9,225.8,372.5,152,273,260.1,350.9,21,318.7,343.7,267.1,353.8,219.6,11,27.3,420.1,277.9,278.9,313.4,91.8,391.3,315,238.4,74.8,16,177.3,43.9,55.3,375.6,208.1,192.5,187.2,272.5,288.7,306.6,36.5,126.3,233.8,258.2,134.2,240.3,221,322.7,47.5,367,301.9
"NewYorkCounty",159.6,323.5,10,181.2,370,253.6,411.1,236.9,219.9,321.8,127.9,217.2,170.4,90.4,371.5,274.9,332.5,206.4,345.2,132.6,253.6,240.7,323.6,13.2,299.3,316.3,247.7,326.4,200.2,27.1,3,392.8,258.5,251.5,286,72.4,364,287.7,219,58.3,11.4,169.3,22.4,35.9,356.2,188.7,173.1,167.8,245.1,261.4,279.3,54.8,106.9,206.5,230.9,114.8,220.9,220.2,295.4,27.6,339.7,274.5
