"County","AdamsCounty","BarnesCounty","BensonCounty","BillingsCounty","BottineauCounty","BowmanCounty","BurkeCounty","BurleighCounty","CassCounty","CavalierCounty","DickeyCounty","DivideCounty","DunnCounty","EddyCounty","EmmonsCounty","FosterCounty","GoldenValleyCounty","GrandForksCounty","GrantCounty","GriggsCounty","HettingerCounty","KidderCounty","LaMoureCounty","LoganCounty","McHenryCounty","McIntoshCounty","McKenzieCounty","McLeanCounty","MercerCounty","MortonCounty","MountrailCounty","NelsonCounty","OliverCounty","PembinaCounty","PierceCounty","RamseyCounty","RansomCounty","RenvilleCounty","RichlandCounty","RoletteCounty","SargentCounty","SheridanCounty","SiouxCounty","SlopeCounty","StarkCounty","SteeleCounty","StutsmanCounty","TownerCounty","TraillCounty","WalshCounty","WardCounty","WellsCounty","WilliamsCounty"
"MountrailCounty",197.5,288.1,174.7,140.7,119.9,201.9,55.8,160.5,337.5,234.6,319.2,94.1,99.5,190.5,224.2,199.3,176,263.3,212.8,232.4,172.3,194.1,296.2,249,99,268.6,83.1,96,139.8,171.7,22.7,230.6,145.4,280.4,135.4,196.9,338.2,70.1,392.9,160.2,368,141.8,219,182.9,125.5,262.6,231.1,195.6,299.4,259.1,54.6,154.7,61.3
"NelsonCounty",350.4,88.9,74.4,343.8,162.9,388,261.6,205.2,119,75.3,171.6,305.4,265.6,58.4,227.9,67.8,362.1,53.6,281.5,45.4,331,158.4,148.6,173.9,142.4,206.1,300.1,188.6,219.4,239.1,230.6,16.3,213.4,94.1,111,58.5,123.7,217.8,184.1,135.7,153.5,144.5,269,369.1,304.1,53.4,110.9,95.4,79.3,61.7,181.3,91,274.9
"OliverCounty",132,178.5,167.9,125.4,168.2,169.6,188.7,57.8,227.9,257.9,209.6,232.4,73.1,165,114.6,148.2,143.7,288.5,82.5,211.3,112.6,104.6,186.6,139.4,122.3,159,140.7,52.1,26.9,32.7,145.4,213.4,13.9,303.7,158.8,205,228.6,144.8,283.3,193.7,258.4,93.5,95.3,150.7,85.7,241.9,145.3,218.9,268.8,300.5,108.3,126.3,202
"PembinaCounty",429.1,167.6,138.1,422.5,162.5,466.7,256.7,283.8,169.5,46.8,250.2,300.5,354.2,154,306.6,158.9,440.8,92.1,360.1,127.1,409.7,248.2,227.2,252.6,192.2,284.8,349.9,264.2,308,317.8,280.4,94.1,303.7,17.2,160.8,111.6,212.4,204.3,202.9,116.5,248.4,221.4,347.7,447.8,382.8,114.9,200.8,94.3,119.1,35.3,231,180.7,324.7
"PierceCounty",285.8,166.5,46,279.1,67.7,323.4,166.4,140.5,215.9,115,198.8,210.2,209.3,90.8,163.3,99.7,297.5,143.7,216.8,132.7,266.4,100.7,175.8,151.7,47.3,177.3,205,119.3,163.1,174.5,135.4,111,158.8,160.8,16.9,77.3,216.6,122.6,274.2,50.8,246.4,73.8,204.4,304.5,239.5,158.1,131.4,76,179.8,139.5,86.1,55,179.7
"RamseyCounty",335,131.6,40.6,328.4,129.1,372.6,227.9,189.7,171.2,66.5,178,271.7,270.7,52.7,212.5,78.9,346.7,91.1,266,88.1,315.6,149.9,155,180,108.7,212.2,266.4,180.7,224.5,223.7,196.9,58.5,205,111.6,77.3,18.6,175.8,184,221.7,97.8,205.6,124,253.6,353.7,288.7,105.6,110.6,57.5,127.3,81,147.5,82.5,241.2
"RansomCounty",324.8,51.4,182.2,318.2,280.2,362.4,347.3,179.5,57.9,192.7,84.1,391.1,304.1,155.8,135.2,124.9,336.5,144,255.8,93.1,305.4,143.9,56.8,109.5,251.5,117.7,372.6,244.9,257,213.5,338.2,123.7,228.6,212.4,216.6,175.8,15.1,303.4,54.5,253.1,31,210.6,243.4,343.5,278.5,87.7,96.5,212.7,110.5,163.2,266.9,165.1,360.6
"RenvilleCounty",267.3,253.3,161.9,209.7,50.1,270.8,58.4,160,302.8,158.5,285.6,102.2,168.4,177.7,223.6,186.5,244.9,250.4,217.8,219.6,247.9,193.6,262.6,248.5,86.2,268,152,95.4,139.2,171.1,70.1,217.8,144.8,204.3,122.6,184,303.4,15.4,358.2,90.4,333.2,129,218.5,251.9,194.4,249.8,218.3,129.3,286.6,213.6,41.8,141.9,114.4
"RichlandCounty",379.6,106.2,237.6,372.9,326,417.1,402,234.3,59.2,243.7,106.4,445.8,358.8,198.9,177.3,175.7,391.2,134.5,310.6,143.8,360.2,198.7,98.8,161.6,305.6,157.3,427.3,299.7,311.8,268.2,392.9,184.1,283.3,202.9,274.2,221.7,54.5,358.2,19.6,298.9,47.9,265.3,298.1,398.2,333.2,128.6,151.3,258.6,101,177.6,321.6,219.9,415.3
"RoletteCounty",326.1,208.9,90,297.6,48.6,363.7,142.8,190.1,248.4,70.7,243.1,186.6,244.2,117.7,212.9,143.9,337.8,168.4,266.5,165.3,306.7,150.3,220.1,201.4,82.2,226.9,239.9,154.2,198,224.1,160.2,135.7,193.7,116.5,50.8,97.8,253.1,90.4,298.9,15.8,282.9,123.4,254,344.8,279.8,182.8,175.7,41.5,204.5,134.1,121,104.6,204.5
