"County","AlachuaCounty","BakerCounty","BayCounty","BradfordCounty","BrevardCounty","BrowardCounty","CalhounCounty","CharlotteCounty","CitrusCounty","ClayCounty","CollierCounty","ColumbiaCounty","DeSotoCounty","DixieCounty","DuvalCounty","EscambiaCounty","FlaglerCounty","FranklinCounty","GadsdenCounty","GilchristCounty","GladesCounty","GulfCounty","HamiltonCounty","HardeeCounty","HendryCounty","HernandoCounty","HighlandsCounty","HillsboroughCounty","HolmesCounty","IndianRiverCounty","JacksonCounty","JeffersonCounty","LafayetteCounty","LakeCounty","LeeCounty","LeonCounty","LevyCounty","LibertyCounty","MadisonCounty","ManateeCounty","MarionCounty","MartinCounty","MiamiDadeCounty","MonroeCounty","NassauCounty","OkaloosaCounty","OkeechobeeCounty","OrangeCounty","OsceolaCounty","PalmBeachCounty","PascoCounty","PinellasCounty","PolkCounty","PutnamCounty","StJohnsCounty","StLucieCounty","SantaRosaCounty","SarasotaCounty","SeminoleCounty","SumterCounty","SuwanneeCounty","TaylorCounty","UnionCounty","VolusiaCounty","WakullaCounty","WaltonCounty","WashingtonCounty"
"MarionCounty",50.2,96.8,285.4,58.7,129,270.4,247.8,190.7,33.4,73.8,256.3,82.8,153.7,77.5,106.8,377.8,80.4,216.8,212.6,66.9,191.1,285.3,111.5,128.7,213.3,71.2,142.6,100.3,288.1,172.4,250.6,164.2,105.9,38.8,224.2,187,53.1,236.6,136.9,136.7,21,201.7,305.3,413.1,115.7,337.4,166.9,70.9,88.4,233.9,84.8,115.7,105,56,89.8,181,360.8,161.3,74.4,29.6,101.2,120.9,76.6,75.8,174.6,309.4,279.4
"MartinCounty",249.5,289.7,484.7,263.2,95.9,74.3,447.1,142.7,212.7,247.8,164.1,282.1,111,276.8,253.5,577.1,191.5,416.1,411.9,266.2,79,484.6,310.8,117.3,89.6,203.9,90.3,171.1,487.4,56.9,450,363.5,305.3,171.9,133.2,386.3,252.4,435.9,336.2,158.4,201.7,14.1,109.3,217,278,536.7,54,142.2,113.8,37.9,193,192,128.6,227.3,216.1,22.7,560.1,159.2,149.1,185.3,300.5,320.2,275.5,161.2,373.9,508.7,478.7
"MiamiDadeCounty",353.1,390.5,588.3,366.8,196.7,37.4,550.7,181.8,316.3,348.6,108.3,385.7,173.4,380.4,354.3,680.7,292.3,519.7,515.5,369.8,112.2,588.2,414.4,184.2,108.4,287.1,157.2,249.1,591,157.7,553.5,467.1,408.8,275.5,147.3,489.9,356,539.5,439.8,234.2,305.3,109.3,25.4,113.3,378.8,640.2,131.8,245.8,217.4,71.7,271.1,271.5,214.7,328.1,316.9,126.3,663.7,207.2,249.9,288.9,404.1,423.8,379.1,262,477.5,612.3,582.3
"MonroeCounty",460.9,498.3,696.1,474.6,304.5,145.2,658.5,268,424.1,456.4,196.4,493.5,280,488.2,462.1,788.5,400.1,627.5,623.3,477.6,218.8,696,522.2,290.8,215,393.7,263.8,357.1,698.8,265.5,661.3,574.9,516.6,373.9,233.4,597.7,463.8,647.3,547.6,320.3,413.1,217,113.3,31.5,486.6,748,238.3,353.6,325.2,179.5,377.7,357.7,321.3,435.9,424.6,234.1,771.5,293.4,357.7,396.7,511.9,531.6,486.9,369.8,585.3,720.1,690.1
"NassauCounty",84.8,47.3,274.2,59.4,189.3,343.9,236.6,301,143.7,59.5,366.6,76,280.9,135.5,27.4,366.6,90.3,241.9,201.4,123,309.4,274.1,100.3,255.9,331.5,181.5,260.9,210.6,276.9,232.8,239.5,153,121.4,154.2,334.5,175.8,119,225.4,125.7,247,115.7,278,378.8,486.6,13.9,326.2,269.7,165.8,191.3,307.5,195.1,226,223.2,89.1,71.8,254.5,349.6,271.6,158,145,102.5,145.9,65.3,127.6,198.4,298.2,268.2
"OkaloosaCounty",297.2,281.8,79.5,293.5,464,605.3,94.7,517.5,335.1,314,583,258.1,488.8,257.9,317.3,53.6,379,176.6,131.1,279,526.1,130.7,247.2,463.8,548.3,352.4,477.6,427,65.1,507.4,89.4,179,243,375.9,550.9,157,294.1,142.8,204.6,463.4,337.4,536.7,640.2,748,326.2,16.9,501.9,405.9,423.4,568.9,372.9,409.1,439.9,341.6,360.4,515.9,36.6,488.1,411.5,361.4,240.4,215.6,277.1,416.2,174.1,42,78.9
"OkeechobeeCounty",214.7,266.5,449.9,228.4,101.6,113.6,412.3,104.3,177.9,239.5,137.9,247.4,72.6,242,245.2,542.3,183.2,381.3,377.1,231.4,45.6,449.8,276,68.3,65.7,169.1,41.3,133.3,452.6,62.6,415.1,328.7,270.5,137.1,105.8,351.5,217.6,401.1,301.4,114.1,166.9,54,131.8,238.3,269.7,501.9,15.4,107.4,79,77.2,155.2,154.2,98.8,207.7,207.8,45.9,525.3,120.8,116.8,150.5,265.7,285.4,240.7,148.1,339.1,473.9,443.9
"OrangeCounty",118.8,177.5,354,132.5,60.9,210.9,316.4,173.4,82,135.5,204,151.4,118.6,146.1,141.3,446.4,79.3,285.4,281.2,135.5,147.1,353.9,180.1,93.6,169.3,72.2,98.6,82.9,356.6,104.3,319.2,232.8,174.5,35.2,171.9,255.6,121.7,305.2,205.4,119.3,70.9,142.2,245.8,353.6,165.8,405.9,107.4,16.3,29,174.5,85.9,103.8,60.9,91.2,103.8,121.5,429.4,144,19.2,54.6,169.8,189.5,144.8,44.1,243.2,378,348
"OsceolaCounty",136.3,188,371.5,150,55.3,182.5,333.9,171.4,99.5,161,202,168.9,116.6,163.5,166.8,463.9,104.8,302.9,298.7,153,117.7,371.4,197.6,91.6,137.8,90.6,96.6,80.9,374.1,81,336.7,250.3,192,58.7,169.9,273.1,139.2,322.7,222.9,117.3,88.4,113.8,217.4,325.2,191.3,423.4,79,29,20,146.1,99.1,101.8,58.9,129.2,129.3,93.1,446.9,142,44.7,72.1,187.3,207,162.3,69.6,260.7,395.5,365.5
"PalmBeachCounty",281.8,319.2,517,295.5,125.3,36.8,479.4,149.4,245,277.2,126.6,314.4,146.2,309,283,609.3,220.9,448.4,444.2,298.5,85,516.8,343.1,140.4,81.2,236.1,113.4,203.3,519.6,86.3,482.2,395.8,337.5,204.2,124.9,418.6,284.7,468.1,368.4,201.8,233.9,37.9,71.7,179.5,307.5,568.9,77.2,174.5,146.1,25.1,225.3,224.2,160.8,256.7,245.5,55,592.3,174.8,178.6,217.6,332.8,352.4,307.7,190.7,406.2,540.9,511
