,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
0-2-1-2-2-0,0,3.98938822731534e-05,1.11092595678498e-05,7.17547994991515e-06,2.53055646936761e-05,0
0-2-1-2-2-1,0,3.98938822731534e-05,1.11092595678498e-05,1.43509598998303e-05,2.53055646936761e-05,6.88340205263049e-06
0-2-2-0-0-0,0,0.00323140446412543,0.00212186857745931,0,0,0
0-2-2-0-2-0,0,3.98938822731534e-05,2.22185191356996e-05,0,2.53055646936761e-05,0
0-2-2-1-0-0,0,0.0017154369377456,0.00104427039937788,0.000139921859023345,0,0
0-2-2-1-0-1,0,0.000199469411365767,0.000111092595678498,1.79386998747879e-05,0,3.44170102631525e-05
0-2-2-1-0-2,0,3.98938822731534e-05,2.22185191356996e-05,3.58773997495757e-06,0,1.3766804105261e-05
0-2-2-1-1-0,0,0.000598408234097301,0.000344387046603344,4.66406196744485e-05,0.000164486170508895,0
0-2-2-1-1-1,0,3.98938822731534e-05,3.33277787035494e-05,3.58773997495757e-06,1.26527823468381e-05,6.88340205263049e-06
0-2-2-1-2-0,0,3.98938822731534e-05,2.22185191356996e-05,3.58773997495757e-06,3.79583470405142e-05,0
0-2-2-2-0-0,0,0.00273273093571101,0.00159973337777037,0.000462818456769527,0,0
0-2-2-2-0-1,0,0.000339097999321804,0.000199966672221296,5.0228359649406e-05,0,4.81838143684134e-05
0-2-2-2-0-2,0,5.98408234097301e-05,5.5546297839249e-05,7.17547994991515e-06,0,1.3766804105261e-05
0-2-2-2-1-1,0,7.97877645463068e-05,4.44370382713992e-05,1.79386998747879e-05,2.53055646936761e-05,1.3766804105261e-05
0-2-2-2-1-2,0,3.98938822731534e-05,2.22185191356996e-05,1.43509598998303e-05,1.26527823468381e-05,1.3766804105261e-05
1-0-0-0-0-1,0.000771862346854007,0,0,0,0,0.000812241442210398
1-0-0-0-0-2,0.000595249775963683,0,0,0,0,0.0012871961838419
1-0-0-0-1-0,0.00138019453547623,0,0,0,0.00266973707518283,0
1-0-0-0-1-1,0.000732615108878379,0,0,0,0.00141711162284586,0.000770941029894615
1-0-0-0-1-2,6.54120632927124e-05,0,0,0,0.000126527823468381,0.000158318247210501
1-0-0-0-2-0,0.00116433472661028,0,0,0,0.00454234886251487,0
1-0-0-0-2-1,0.000117741713926882,0,0,0,0.000480805729179847,0.000123901236947349
1-0-0-0-2-2,1.96236189878137e-05,0,0,0,8.85694764278665e-05,4.1300412315783e-05
1-0-0-1-0-0,0.0288990495627204,0,0,0.0158506352093626,0,0
1-0-0-1-0-1,0.00280617751525736,0,0,0.0015391404492568,0,0.00295297948057848
1-0-0-1-0-2,0.000804568378500363,0,0,0.000441292016919782,0,0.00172085051315762
1-0-0-1-1-0,0.0060964042988808,0,0,0.00334377365666046,0.0117923931472531,0
1-0-0-1-1-1,0.000863439235463804,0,0,0.0004735816766944,0.00167016726978263,0.000908609070947225
