"County","AdamsCounty","AlexanderCounty","BondCounty","BooneCounty","BrownCounty","BureauCounty","CalhounCounty","CarrollCounty","CassCounty","ChampaignCounty","ChristianCounty","ClarkCounty","ClayCounty","ClintonCounty","ColesCounty","CookCounty","CrawfordCounty","CumberlandCounty","DeKalbCounty","DeWittCounty","DouglasCounty","DuPageCounty","EdgarCounty","EdwardsCounty","EffinghamCounty","FayetteCounty","FordCounty","FranklinCounty","FultonCounty","GallatinCounty","GreeneCounty","GrundyCounty","HamiltonCounty","HancockCounty","HardinCounty","HendersonCounty","HenryCounty","IroquoisCounty","JacksonCounty","JasperCounty","JeffersonCounty","JerseyCounty","JoDaviessCounty","JohnsonCounty","KaneCounty","KankakeeCounty","KendallCounty","KnoxCounty","LakeCounty","LaSalleCounty","LawrenceCounty","LeeCounty","LivingstonCounty","LoganCounty","McDonoughCounty","McHenryCounty","McLeanCounty","MaconCounty","MacoupinCounty","MadisonCounty","MarionCounty","MarshallCounty","MasonCounty","MassacCounty","MenardCounty","MercerCounty","MonroeCounty","MontgomeryCounty","MorganCounty","MoultrieCounty","OgleCounty","PeoriaCounty","PerryCounty","PiattCounty","PikeCounty","PopeCounty","PulaskiCounty","PutnamCounty","RandolphCounty","RichlandCounty","RockIslandCounty","StClairCounty","SalineCounty","SangamonCounty","SchuylerCounty","ScottCounty","ShelbyCounty","StarkCounty","StephensonCounty","TazewellCounty","UnionCounty","VermilionCounty","WabashCounty","WarrenCounty","WashingtonCounty","WayneCounty","WhiteCounty","WhitesideCounty","WillCounty","WilliamsonCounty","WinnebagoCounty","WoodfordCounty"
"GrundyCounty",243.5,335.1,210.5,87.3,197,66.4,242.1,139.7,175,92.9,152.2,177.8,196.1,248.4,141.9,60,200.7,158.8,56,103.2,118,55.4,158.8,225.4,171.4,196.1,70.3,257.8,153.9,272.5,205.1,10.7,264.1,225.9,298.6,182.8,109.9,73.3,290.2,179.5,234.5,224.8,182.9,294.3,52.5,51.6,28.9,149.5,95.7,37,217.6,80.8,36.7,108,194.1,80.1,76.8,120.3,193.3,223.4,212,80.4,134.5,317.9,146.4,151.6,257.8,187.9,176.4,149.8,104,116.6,282.8,102.2,217.6,317.7,315.7,62.5,273.8,201.2,123,243.1,286.8,146,178.1,194.1,157.5,110.1,141.1,111.6,302.6,123.7,242.6,167.9,259.3,221.3,253,113.3,36.8,274.4,117.1,73.3
"HamiltonCounty",251.3,104.9,95.8,362.8,238.1,308,166.4,359.7,211.9,179.1,132.7,145.9,63,79.8,132.7,312.1,100.9,122.2,340.7,186.6,150.1,320.6,170.6,50,94.1,93.1,213.4,27.6,243.4,36.2,165.4,264.1,10.7,292.1,57.9,302.8,317.1,232.6,59.9,94.1,27,146,408.7,64.1,316.5,251.4,286.3,290.7,350.7,296.5,79.9,321.7,240.9,204.9,260,361.1,228.6,161.2,139.6,116.2,55.8,276.8,231,81,201.5,330.8,118.1,120.2,202.3,136.7,348.9,254.1,55.3,177.2,210.1,54.8,85.5,292.6,81.9,72.5,338.2,99.7,29.9,171.8,234.2,186.1,130.3,291.3,386.1,235.8,72.3,209.8,59,290,59.5,33.5,22.3,339.7,291.4,44.1,362.1,257.9
"HancockCounty",46.8,308.4,185.2,237.4,54.4,163.3,126.7,174.8,78.4,172.3,150.5,271.5,254.4,223.1,221.3,268.2,271,227.6,215.3,143.9,197.3,258.4,238.2,291.6,223.2,199.5,176.9,285.9,60.5,333.4,114.3,225.9,292.1,14.7,350,44,120.9,210.6,270.8,249.8,262.5,135,197.5,322.4,238.4,229.4,227,90.3,280.9,197.3,287.7,184.4,178,118.6,31,261.8,140.2,157.8,144.4,169.5,223.8,140.3,81.4,346,98.7,80,201.5,162.6,91.9,191,195.4,105.3,260.5,171.1,86.6,345.8,328.6,158.1,234.5,267.5,109.5,207.4,314.9,120.5,56.5,92.8,181.3,125.9,208.9,106.2,311.7,203.1,308.8,61,237,279.5,319.5,156.3,245,302.4,236.6,137.4
"HardinCounty",309.2,88.1,153.6,397.3,296,342.5,224.2,417.5,269.8,213.5,190.6,168.1,107.2,137.6,167.1,346.6,135.4,151.1,375.2,224.6,184.6,355,181.1,82.6,151.9,151,247.8,68.4,301.2,32.4,223.2,298.6,57.9,350,6.9,360.6,375,267,83.8,127.4,84.8,203.9,462.3,44.4,351,285.8,320.8,348.5,385.1,330.9,114.4,356.1,275.4,262.8,317.8,395.5,263,199.3,197.4,174.1,113.6,311.2,288.9,54,259.4,388.6,150,178.1,260.1,174.7,383.4,311.9,98.4,211.6,268,25.9,68.4,327,125.1,105.8,396.1,157.6,33.8,229.7,292,244,168.3,349.1,420.5,293.6,61.9,216.3,93.6,347.8,117.3,77.7,56.9,389.3,325.8,66.6,396.5,292.3
"HendersonCounty",87.6,349.1,198.9,194.2,89,120.1,153.5,131.7,92.1,180.4,187.4,265.2,283.6,236.7,229.4,225.1,288.2,246.2,172.2,157.8,205.4,215.3,246.3,312.8,258.9,213.2,176.9,296.5,70.2,344,138.8,182.8,302.8,44,360.6,10.2,77.8,197.6,292.2,267,273.1,159.5,154.4,333,195.3,216.4,183.9,47.2,237.8,154.2,305.1,141.2,165,135.8,43,218.7,136.2,175,168.8,194,237.5,117.7,95.2,356.6,112.5,39.3,227.2,176.2,116.4,204.4,152.3,82.7,271.1,189.6,121.1,356.4,354.4,141.5,262.2,288.7,66.3,212.5,325.5,134.2,70.1,117.3,212.2,82.8,165.8,103.6,318.4,211.2,330,21.4,247.6,308.7,330.2,113.2,201.9,313,193.5,108.7
"HenryCounty",153.4,381.4,213.2,131.3,128.7,47.3,193.1,68.7,129.3,162.6,169.7,247.4,265.8,251.1,211.7,152.2,270.4,228.4,109.2,140.1,187.7,147.6,228.5,295.1,241.1,227.5,159.2,310.8,80,342.2,171.3,109.9,317.1,120.9,375,77.8,14.8,174.6,306.5,249.2,287.5,192,99.9,347.3,132.3,159.3,111,44.4,187.9,81.3,287.3,79.4,128.6,118,89,155.7,118.4,157.2,196,226.1,251.9,71.7,110.2,370.9,127.5,46.5,260.5,190.6,142.8,186.7,89.3,65,285.5,171.9,160.7,370.7,368.7,68.6,276.5,270.9,29.4,245.8,339.8,148.7,109.8,156.9,194.4,39.7,102.8,85.8,332.7,193.4,312.3,62.8,262,291,322.7,50.2,129,327.4,130.5,90.9
"IroquoisCounty",243.1,303.6,188.5,156.1,211.9,131.2,241.7,198.7,182.7,61.4,136.6,121,164.6,207.4,110.4,91.1,143.3,127.2,121.6,79,86.5,99.6,96.3,193.9,139.9,164.6,32.4,226.3,154.1,241,204.7,73.3,232.6,210.6,267,197.6,174.6,17.2,258.7,148,203,224.4,241.5,262.8,106.4,30.3,100.5,153.5,129.6,103.7,160.4,144.9,50.1,108.3,182.6,140.1,70.7,103.6,192.9,223,180.5,99.9,134.8,286.4,146.7,193.6,255.6,168.3,176,115.9,159.1,116.8,244.5,79.9,217.2,286.2,284.2,115.8,271.2,169.7,187.7,240.9,255.3,145.6,178.4,193.7,135,132.1,199.8,111.9,271.1,61.2,186.3,182.7,224.4,189.7,221.5,178,70.3,242.9,169.1,87
"JacksonCounty",230,61.5,85.2,366.2,227.5,302.9,155.8,349.1,201.4,205.2,144.2,172,113.1,69.2,158.8,338.2,171.4,148.3,344.1,192.7,176.3,346.7,196.7,114.3,120.2,106.6,239.5,34.9,232.8,65.3,154.8,290.2,59.9,270.8,84,292.2,306.5,258.7,12.6,150.2,59.8,135.4,398.1,40.1,342.6,277.5,312.4,280.1,376.8,299.9,152,325.1,267,194.3,249.4,387.2,234.2,163.4,129,105.6,81.9,280.2,220.4,63.7,190.9,320.2,72.7,110.9,191.7,162.8,352.3,243.5,25.1,203.3,199.5,63.5,49.6,296,46.3,130.4,327.6,78.7,46.3,161.2,223.6,175.6,156.4,280.7,389.5,225.2,26.9,235.9,131.1,279.4,45.4,97.8,81.6,329.1,317.5,20.9,365.5,252.8
"JasperCounty",230.1,195.2,80.1,278.2,198.8,223.4,153.8,296.7,172.6,94.5,87.4,40.8,51.7,98.9,41.5,227.5,21.2,23.8,256.1,128.5,65.6,236,65.5,45.9,31.4,56.1,128.8,117.9,204.1,101.3,152.5,179.5,94.1,249.8,127.4,267,249.2,148,150.2,11.5,94.5,137.5,343.2,154.4,231.9,166.8,201.7,222.8,266.1,211.9,42,237.1,156.3,124.1,220.7,276.5,144,89.9,116.6,119.1,72.1,192.2,183.5,178,142.1,262.9,147.2,91.6,163,65.4,264.3,186.2,136.1,92.6,204.1,131.6,175.8,208,162.7,21.7,270.3,132.4,106.6,132.5,194.9,180.6,61.3,223.4,301.5,170.8,162.6,100.7,63.1,252.1,116,61.1,73.5,270.3,206.8,134.4,277.5,173.3
"JeffersonCounty",221.7,104.7,66.1,333.2,208.5,278.4,136.7,330,182.3,149.4,103.1,116.2,57.3,50.2,103,282.5,115.7,92.5,311.1,157,120.5,291,141,51.7,64.4,63.5,183.7,27.4,213.7,63.1,135.7,234.5,27,262.5,84.8,273.1,287.5,203,59.8,94.5,12.4,116.4,379.1,63.9,286.9,221.7,256.7,261.1,321,266.8,97.9,292.1,211.3,175.3,230.3,331.5,198.9,131.6,110,86.6,26.1,247.1,201.4,87.5,171.9,301.2,88.4,90.6,172.6,107.1,319.3,224.4,45.6,147.5,180.5,87.3,85.3,263,72.3,74.7,308.6,70.1,56.4,142.2,204.5,156.5,100.6,261.6,356.5,206.1,72.2,180.2,66.1,260.3,29.8,33.5,49.3,310,261.7,43.9,332.5,228.2
"JerseyCounty",104,188.4,59.5,287.2,80.6,223.9,23,245.9,71.3,170.9,80.4,159.3,136.1,80.4,146.1,275.5,158.7,135.6,265.1,133.7,163.5,271,184,176.1,110.9,87.2,191.9,139.7,113.9,187.3,24.2,224.8,146,135,203.9,159.5,192,224.4,135.4,137.5,116.4,10,268.6,176.2,277.2,243.1,247,150.6,311.3,220.9,175.4,246.1,192.5,115.3,116.7,311.6,155.2,107.7,43.6,33.6,102.5,201.2,105.4,199.8,104.7,172.7,72.5,53.2,51,124.1,273.3,164.5,114.4,150.5,66.8,199.6,197.6,217,99.6,155.2,198.1,57.8,168.7,82.2,90.9,45,98.1,166.4,310.5,146.2,161.6,201.6,193,146.6,90.8,148.9,173.4,227.4,252.3,156.3,286.5,173.7
"JoDaviessCounty",230,473,304.8,95,205.3,114,269.8,39.6,205.9,256.6,261.3,341.5,359.8,342.7,305.7,160.1,364.4,322.5,117.1,234.1,281.7,149.4,322.5,389.1,335.1,319.1,246.1,402.5,156.6,436.2,247.9,182.9,408.7,197.5,462.3,154.4,99.9,241.5,398.1,343.2,379.1,268.6,12.8,438.9,130.1,211.9,146.5,121,138.6,154.2,381.3,84.8,205,209.6,165.6,119.4,210.4,251.2,287.6,317.7,343.5,147.6,186.8,462.5,204.1,123.1,352.1,282.2,219.4,280.7,80,156.6,377.1,265.9,237.3,462.3,460.3,135.3,368.1,364.9,85.1,337.4,431.5,240.3,186.4,233.5,288.5,119.2,45.5,177.4,424.3,287.4,406.3,139.4,353.6,385,416.7,64.4,178.4,419,76.9,190.2
"JohnsonCounty",281.5,50.4,126,393,268.3,338.2,196.6,389.9,242.2,209.3,162.9,176.1,117.2,110,162.9,342.4,144.9,152.4,371,216.8,180.4,350.8,200.9,92.1,124.3,123.3,243.6,39,273.6,51.4,195.6,294.3,64.1,322.4,44.4,333,347.3,262.8,39.9,154.4,63.9,176.2,438.9,9.6,346.7,281.6,316.5,320.9,380.9,326.7,123.8,351.9,271.1,235.1,290.2,391.3,258.8,191.4,169.8,146.4,86,307,261.3,24.1,231.7,361,123.8,150.4,232.5,166.9,379.1,284.3,72.2,207.4,240.4,23.8,30.7,322.8,85.5,115.2,368.4,129.9,33.2,202,264.4,216.4,160.5,321.5,416.3,266,24.1,240,103,320.2,89.7,101.9,66.3,369.9,321.6,22.7,392.3,288.1
"KaneCounty",270.9,387.5,262.9,44.7,246.2,91.4,294.5,92.8,227.4,145.3,204.6,230.1,248.5,300.8,194.4,42.9,253.1,211.1,23.8,155.6,170.4,18.8,192.2,277.8,223.8,248.5,122.7,310.2,197.5,324.9,257.5,52.5,316.5,238.4,351,195.3,132.3,106.4,342.6,231.9,286.9,277.2,130.1,346.7,11.8,76.8,24.2,161.9,46.6,61.7,270,65.7,89.1,160.4,206.5,34.4,129.2,172.7,245.7,275.8,264.4,114.5,186.9,370.3,198.8,164,310.2,240.3,228.8,202.2,53.2,143.4,335.2,154.6,270,370.1,368.1,96.6,326.2,253.6,130.5,295.5,339.2,198.4,227.3,246.5,209.9,134.5,88.4,164,355,164,295,180.3,311.6,273.6,305.4,87.3,46.8,326.8,57.8,126.2
"KankakeeCounty",261.9,322.4,207.3,126.4,230.6,115.8,260.5,169.1,201.5,80.2,155.3,140.9,183.3,226.1,129.2,61.5,187.9,146,92,97.8,105.2,69.9,116.2,212.6,158.6,183.4,51.1,245.1,172.9,259.7,223.4,51.6,251.4,229.4,285.8,216.4,159.3,30.3,277.5,166.8,221.7,243.1,211.9,281.6,76.8,13.4,70.9,172.2,100,86.4,180.3,130.2,54,127.1,201.4,110.4,89.5,122.3,211.6,241.8,199.3,87.1,153.6,305.2,165.4,200.9,274.4,187,194.8,134.7,129.5,135.6,263.3,98.7,236,305,303,111.8,289.9,188.4,172.3,259.7,274.1,164.4,197.1,212.4,153.8,119.3,170.1,130.7,289.9,87.9,229.8,201.5,243.2,208.5,240.3,162.6,40.7,261.6,139.6,90.8
"KendallCounty",234.8,357.3,232.7,61.4,205.3,67.5,264.3,107.2,197.2,115.1,174.4,199.9,218.3,270.6,164.1,45.8,222.9,180.9,30,125.4,140.2,31.8,181,247.6,193.6,218.3,92.5,280,156.9,294.7,227.3,28.9,286.3,227,320.8,183.9,111,100.5,312.4,201.7,256.7,247,146.5,316.5,24.2,70.9,9.2,150.5,73.3,38.1,239.8,58.2,58.9,130.2,195.1,54.2,99,142.5,215.5,245.6,234.2,81.4,156.7,340.1,168.6,152.6,280,210.1,198.6,172,67.6,110.3,305,124.3,239.8,339.9,337.9,63.5,296,223.4,124,265.3,309,168.2,186.4,216.3,179.7,111.1,104.7,133.8,324.8,145.9,264.8,168.9,281.5,243.4,275.2,93.6,37.7,296.6,74.5,93.1
"KnoxCounty",122.8,355,186.8,160.9,98.1,86.8,162.6,98.4,87.9,136.2,143.3,221,239.4,224.7,185.2,191.8,244,202,138.9,113.7,161.3,182,202.1,268.7,214.7,201.1,132.7,284.4,38.6,315.8,129.9,149.5,290.7,90.3,348.5,47.2,44.4,153.5,280.1,222.8,261.1,150.6,121,320.9,161.9,172.2,150.5,13.8,204.5,120.9,260.9,107.9,120.8,91.6,58.5,185.4,92,130.8,169.6,199.7,225.4,73.5,68.8,344.5,86.1,43.1,234.1,164.2,101.3,160.3,118.9,38.5,259.1,145.4,130.2,344.3,342.3,91.3,250.1,244.5,50.5,219.4,313.4,122.3,79.2,120.4,168,43.7,132.5,59.4,306.3,167,285.8,32.3,235.5,264.5,296.3,79.9,168.6,301,160.2,64.5
"LakeCounty",330,421.7,297,52.5,283.4,144.4,328.6,120.3,261.5,179.5,238.6,240.2,282.6,325.4,228.5,48.2,287.3,245.3,68.2,189.6,204.5,41.8,215.5,311.9,257.9,282.7,150.4,344.4,240.3,359,291.6,95.7,350.7,280.9,385.1,237.8,187.9,129.6,376.8,266.1,321,311.3,138.6,380.9,46.6,100,73.3,204.5,19,115,279.6,108.3,123.1,194.5,249.1,28.3,163.3,206.8,279.7,309.9,298.6,158.4,221,404.5,232.9,206.6,344.3,274.3,262.9,234,89.5,187.2,362.6,198,304.1,404.3,402.3,140.4,360.3,287.8,173.1,329.6,373.4,232.5,264.5,280.5,244,188.1,96.8,198.1,389.2,187.3,329.1,222.9,342.5,307.8,339.6,129.9,76.1,360.9,68.1,159.8
"LaSalleCounty",203.8,367.5,206.6,89.2,174.2,37.8,238.2,111.1,171.1,125.3,151.7,210.1,228.4,244.4,174.3,79.3,233,191.1,47,102.7,150.3,74.8,191.2,257.7,203.7,196.1,100.7,290.2,125.9,304.8,201.1,37,296.5,197.3,330.9,154.2,81.3,103.7,299.9,211.9,266.8,220.9,154.2,326.7,61.7,86.4,38.1,120.9,115,17.4,250,52.2,56.3,104.1,165.5,89.3,79.1,119.8,189.3,219.4,244.4,47.2,130.6,350.3,142.4,122.9,253.9,183.9,172.5,149.3,75.3,79.2,278.8,134.5,213.7,350.1,348.1,29.2,269.8,233.6,94.3,239.2,319.2,142.1,155.3,190.1,157.1,81.5,112.5,96.9,335,156,274.9,139.3,255.3,253.6,285.4,84.7,56.1,306.7,88.5,58.8
"LawrenceCounty",268,196.9,118,316.3,236.8,261.5,191.7,334.8,210.6,125.5,125.4,62.1,50.7,100.1,83.4,241.1,25.6,65.7,294.3,166.6,103.3,249.5,71.3,44.9,69.3,94.1,166.9,119.6,242,88.3,190.4,217.6,79.9,287.7,114.4,305.1,287.3,160.4,152,42,97.9,175.4,381.3,123.8,270,180.3,239.8,260.9,279.6,250,10,275.2,194.4,164.3,258.6,290,182.1,130.2,154.5,157.1,72.9,230.3,221.7,144.7,180.1,301,161.7,129.6,200.9,105.6,302.4,224.3,137.8,134,242.1,118.6,177.5,246.1,164.4,21.9,308.4,138.6,93.7,170.5,232.8,218.6,99.2,261.5,339.6,208.9,164.4,106.4,30.4,290.2,116.8,60.1,60.6,308.4,220.3,136.1,315.6,211.4
"LeeCounty",216.9,392.7,231.8,64.7,192.1,36,263.4,49.4,170.7,150.5,177,235.3,253.7,269.7,199.5,89.6,258.3,216.3,42.6,128,175.6,75.7,216.4,283,229,221.3,140,315.4,143.5,330.1,226.4,80.8,321.7,184.4,356.1,141.2,79.4,144.9,325.1,237.1,292.1,246.1,84.8,351.9,65.7,130.2,58.2,107.9,108.3,52.2,275.2,13.9,98.8,129.3,152.5,89.1,104.3,145.1,214.6,244.7,269.6,68.7,142.9,375.5,154.6,110,279.1,209.2,197.7,174.6,26.9,92.3,304.1,159.7,238.9,375.3,373.3,57.3,295.1,258.8,76.5,264.4,344.4,167.3,173.3,215.4,182.3,79.6,49.3,114.4,360.2,181.3,300.1,126.3,280.5,278.8,310.6,33.3,99.9,332,64,84.1
"LivingstonCounty",211.2,312,178.2,139.9,164.6,85.2,209.8,158.4,142.7,69.8,119.9,154.6,172.9,216.1,118.8,87.4,177.5,135.6,86,70.8,94.8,82.8,135.6,202.2,148.2,172.9,47.1,234.7,121.5,249.3,172.8,36.7,240.9,178,275.4,165,128.6,50.1,267,156.3,211.3,192.5,205,271.1,89.1,54,58.9,120.8,123.1,56.3,194.4,98.8,16.6,75.7,150,128.3,44.5,88,160.9,191.1,188.9,53.9,102.2,294.8,114.1,160.9,225.5,155.6,144.1,117.4,126.1,84.2,250.5,79,185.3,294.5,292.5,69.8,241.5,178,141.7,210.8,263.7,113.7,145.8,161.8,125.2,86.1,163.2,79.3,279.4,100.5,219.4,150.1,226.9,198.1,229.8,132,64.2,251.2,139.2,41
"LoganCounty",134.1,269.3,101,170.4,102.8,115.6,132.7,160.6,65.6,70.5,57.5,131.2,130.9,138.9,88.1,158.8,145.2,100.4,148.4,26.3,75.7,154.2,110,168.2,102.6,115.3,75.1,198.7,69.3,246.2,95.6,108,204.9,118.6,262.8,135.8,118,108.3,194.3,124.1,175.3,115.3,209.6,235.1,160.4,127.1,130.2,91.6,194.5,104.1,164.3,129.3,75.7,12.8,89.5,194.9,38.4,35.4,83.8,113.9,139.7,84.4,43.2,258.8,40.5,131.7,148.4,78.4,67,63.8,156.5,55,173.3,58.7,108.1,258.5,256.6,100.2,164.3,144,139.1,133.6,227.7,36.5,87.8,84.6,71.6,92.2,193.7,36.7,220.6,101.2,185.4,120.9,149.8,156.1,232.3,140.6,135.6,215.2,169.7,65.5
"McDonoughCounty",64.5,305.1,156.1,205.5,46.2,131.4,110.7,143,49.2,143.2,121.3,242.4,225.2,193.9,192.2,236.3,241.8,198.5,183.4,114.8,168.2,226.6,209.1,262.5,194,170.4,147.8,253.7,31.4,301.2,95.9,194.1,260,31,317.8,43,89,182.6,249.4,220.7,230.3,116.7,165.6,290.2,206.5,201.4,195.1,58.5,249.1,165.5,258.6,152.5,150,89.5,12.5,229.9,111.1,128.6,126,151.1,194.7,109.5,52.3,313.8,69.6,56.2,184.4,133.4,73.6,161.9,163.5,74.5,228.3,142,78.3,313.6,311.6,127.3,219.3,238.4,77.6,169.6,282.7,91.3,27.3,74.4,152.2,94.1,177.1,77.1,275.6,173.9,279.7,30.2,204.8,250.4,287.4,124.5,213.1,270.2,204.8,100.5
"McHenryCounty",294.3,432.1,297.3,33.4,269.6,114.8,329,101.2,261.9,189.9,242.5,250.6,293.1,335.9,238.9,58.7,297.7,255.7,50.4,193.5,214.9,47.9,225.9,322.4,268.4,293.1,160.9,354.8,220.9,369.5,291.9,80.1,361.1,261.8,395.5,218.7,155.7,140.1,387.2,276.5,331.5,311.6,119.4,391.3,34.4,110.4,54.2,185.4,28.3,89.3,290,89.1,128.3,194.9,229.9,12.7,168.4,210.6,280.1,310.2,309,138,221.4,414.9,233.2,187.4,344.7,274.7,263.3,244.4,70.3,166.8,373,208.4,304.5,414.7,412.7,120,360.6,298.2,153.9,330,383.8,232.8,250.7,280.9,247.9,158,77.7,187.7,399.6,197.7,339.5,203.8,352.9,318.2,350,110.8,84,371.4,49,149.6
"McLeanCounty",173.9,299.6,140.9,145.4,142.6,90.6,172.5,163.9,105.4,57.4,83.8,142.2,160.6,160.9,106.4,127.6,165.1,123.2,123.4,34.8,82.4,123,123.3,189.8,135.8,128.2,41.9,222.3,92.7,236.9,135.5,76.8,228.6,140.2,263,136.2,118.4,70.7,234.2,144,198.9,155.2,210.4,258.8,129.2,89.5,99,92,163.3,79.1,182.1,104.3,44.5,38.4,111.1,168.4,17.7,52,123.6,153.8,176.5,59.4,64.9,282.4,76.8,132.1,188.2,118.2,106.8,81.4,131.5,55.4,213.1,66.6,148,282.2,280.2,75.2,204.1,165.7,139.5,173.5,251.3,76.4,103.3,124.4,89.2,92.6,168.7,50.5,267.1,88.2,207,121.3,189.6,185.7,217.5,137.5,104.4,238.8,144.7,42.5
"MaconCounty",141,232.3,86.8,185.9,109.8,131.1,125.3,204.3,80.6,49.8,32.3,97.1,96.8,105.6,54,170.7,111.1,66.3,163.8,25.4,41.6,166.1,75.8,134.1,68.5,72.8,70.8,154.9,104.8,173.2,102.6,120,161.2,157.8,199.3,174.6,156.9,103.3,163.6,89.9,131.6,107.9,250.9,191.4,172.4,122.1,142.2,130.4,206.4,119.5,130.2,144.8,87.6,34.1,128.6,210.3,51.6,12.5,76.4,106.5,109.2,99.8,78.8,215.1,64.6,170.6,140.9,64,73.9,29.7,172,93.8,142.6,29.4,115.1,214.8,212.8,115.7,156.9,109.9,178,126.2,183.9,43.5,102.9,91.6,37.5,131,209.1,72.2,199.7,80.6,151.3,159.7,119.1,122,159.3,177.9,147.5,171.5,185.1,80.9
"MacoupinCounty",131.7,203.9,52,255.7,90,192.4,60.9,238.5,74.1,139.3,48.9,138.3,121.2,73.6,125.1,244,137.8,114.6,233.6,102.2,116.6,239.4,163.1,169.7,90,66.3,160.3,133.3,111.6,180.9,41.5,193.3,139.6,144.4,197.4,168.8,196,192.9,129,116.6,110,43.6,287.6,169.8,245.7,211.6,215.5,169.6,279.7,189.3,154.5,214.6,160.9,83.8,126,280.1,123.6,76.2,15.2,46.6,90.7,169.6,99.3,193.4,69.8,209.7,83,34.4,53.8,105.8,241.8,132.9,108,118.9,84.2,193.2,191.2,185.5,99,134.3,217.1,68.3,162.3,50.7,100.2,62.3,79.7,170.1,279,114.6,155.2,170.1,186.6,156,84.4,142.5,167,218.5,220.8,149.9,254.9,142.2
"MadisonCounty",135,163.6,42.8,285.8,115.1,222.5,54,268.6,99.2,169.4,79,140.9,109.7,52.1,127.7,274.1,140.3,117.2,263.7,132.3,145.1,269.6,165.6,146.4,92.5,68.8,190.5,110,152.4,157.5,53,223.4,116.2,169.5,174.1,194,226.1,223,105.6,119.1,86.6,33.6,317.7,146.4,275.8,241.8,245.6,199.7,309.9,219.4,157.1,244.7,191.1,113.9,151.1,310.2,153.8,106.3,46.6,14,76,199.8,140,170.1,110.5,239.8,42.8,51.8,78.9,131.7,271.9,163.1,84.6,149.1,95.7,169.9,167.9,215.6,69.8,136.8,247.2,28,139,80.8,125.4,73.8,96.7,200.3,309.1,144.8,131.9,200.2,163.2,181.1,61.1,119.2,143.6,248.7,250.9,126.5,285.1,172.3
"MarionCounty",204.1,126.8,44.4,310.7,172.9,255.9,122.8,294.4,146.7,127,78.2,93.8,34.9,28.5,80.6,260.1,93.3,70.1,288.7,134.5,98.1,268.5,118.6,85.9,42,38.6,161.3,49.5,178.1,97,121.8,212,55.8,223.8,113.6,237.5,251.9,180.5,81.9,72.1,26.1,102.5,343.5,86,264.4,199.3,234.2,225.4,298.6,244.4,72.9,269.6,188.9,139.7,194.7,309,176.5,109.2,90.7,76,12.3,224.7,165.8,109.6,136.3,265.5,90,65.7,137,84.6,296.8,188.8,67.7,125.1,178.2,109.4,107.4,240.5,84,52.2,273,67,78.5,106.6,168.9,154.7,78.2,226,334,170.5,94.3,157.8,102.8,224.7,37.2,52.1,83.2,302.8,239.3,66,310,205.8
"MarshallCounty",160.3,347.8,186.9,113.5,130.7,43.3,218.5,110.7,114.1,105.6,132,190.4,208.8,224.7,154.6,122.7,213.4,171.4,91.5,83,130.6,118.1,171.5,238,184,176.4,95,270.5,82.4,285.1,181.5,80.4,276.8,140.3,311.2,117.7,71.7,99.9,280.2,192.2,247.1,201.2,147.6,307,114.5,87.1,81.4,73.5,158.4,47.2,230.3,68.7,53.9,84.4,109.5,138,59.4,100.2,169.6,199.8,224.7,10.3,86.3,330.6,98,90.4,234.2,164.2,152.8,129.6,99.6,35.7,259.1,114.8,194,330.4,328.4,27.7,250.1,213.9,93.9,219.5,299.5,122.4,111.8,170.4,137.4,35.9,112.9,57.8,315.3,136.4,255.2,102.8,235.6,233.9,265.7,84.3,99.5,287,112.8,31.8
"MasonCounty",93,295.4,127.1,196.9,63.4,110.7,122.8,164.2,42.8,97,85.7,181.8,175.6,165,146,185.2,204.7,162.8,174.8,68.6,122,180.7,162.8,212.9,147.3,141.4,101.6,224.8,32.1,272.3,84.8,134.5,231,81.4,288.9,95.2,110.2,134.8,220.4,183.5,201.4,105.4,186.8,261.3,186.9,153.6,156.7,68.8,221,130.6,221.7,142.9,102.2,43.2,52.3,221.4,64.9,80.1,99.3,140,165.8,86.3,12.2,284.9,40.9,108.9,174.5,104.5,56.2,108.5,157.8,51.3,199.4,95.8,98.8,284.6,282.7,104.1,190.4,188.7,116.3,159.7,253.8,62.4,44.5,75.2,116.3,88.5,180.3,48.5,246.7,127.7,230.1,82.4,175.9,200.8,258.4,136.9,162.1,241.3,196.2,76
"MassacCounty",305.2,62.9,149.6,416.6,291.9,361.8,220.2,413.5,265.8,232.9,186.6,199.7,140.8,133.6,186.5,366,165.7,176,394.6,240.4,204,374.4,224.5,112.9,147.9,147,267.2,62.7,297.2,72.3,219.2,317.9,81,346,54,356.6,370.9,286.4,63.5,178,87.5,199.8,462.5,24.1,370.3,305.2,340.1,344.5,404.5,350.3,144.7,375.5,294.8,258.8,313.8,414.9,282.4,215.1,193.4,170.1,109.6,330.6,284.9,8,255.4,384.6,147.4,174.1,256.1,190.5,402.7,307.9,95.8,231,264,33.5,46.8,346.4,109.1,136,392,153.5,54.1,225.7,288,240,184.1,345.1,439.9,289.6,40.3,263.6,123.8,343.8,113.3,125.5,87.2,393.5,345.2,46.3,415.9,311.7
